row_label_raw,row_label_full,Công trình PĐP
Commonwealth Properties,Commonwealth Properties,Commonwealth Properties
Công ty Cổ phần Đầu tư và Quản lý Khách sạn AKYN (“AKYN”),Công ty Cổ phần Đầu tư và Quản lý Khách sạn AKYN (“AKYN”),Công ty Cổ phần Đầu tư và Quản lý Khách sạn AKYN (“AKYN”)
Công ty Cổ phần Tư vấn Quản lý BDSC (“BDSC”),Công ty Cổ phần Tư vấn Quản lý BDSC (“BDSC”),Công ty Cổ phần Tư vấn Quản lý BDSC (“BDSC”)
Công ty TNHH Tư vấn Giải pháp Bền Vũng,Công ty TNHH Tư vấn Giải pháp Bền Vũng,Công ty TNHH Tư vấn Giải pháp Bền Vũng
Công ty Cổ phần Khu du lịch Nghị dưỡng A,Công ty Cổ phần Khu du lịch Nghị dưỡng A,Công ty Cổ phần Khu du lịch Nghị dưỡng A
Ông Nguyễn Văn Dũng,Ông Nguyễn Văn Dũng,Ông Nguyễn Văn Dũng
Ông Nguyễn Văn Tuấn,Ông Nguyễn Văn Tuấn,Ông Nguyễn Văn Tuấn
Ông Nguyễn Văn Phát,Ông Nguyễn Văn Phát,Ông Nguyễn Văn Phát
Ông Phan Gia Bình,Ông Phan Gia Bình,Ông Phan Gia Bình
Ông Nguyễn Văn Hoàng,Ông Nguyễn Văn Hoàng,Ông Nguyễn Văn Hoàng
Bà Nguyễn Thị Minh Thư,Bà Nguyễn Thị Minh Thư,Bà Nguyễn Thị Minh Thư
Bà Ngô Thị Minh Hương,Bà Ngô Thị Minh Hương,Bà Ngô Thị Minh Hương
Ông Dương Lê Vũ Thành,Ông Dương Lê Vũ Thành,Ông Dương Lê Vũ Thành
Ông Hoàng Võ Anh Khoa,Ông Hoàng Võ Anh Khoa,Ông Hoàng Võ Anh Khoa
Ông Dương Văn Toàn,Ông Dương Văn Toàn,Ông Dương Văn Toàn
Bà Trần Thị Hường,Bà Trần Thị Hường,Bà Trần Thị Hường
Ông Nguyễn Ngọc Huy,Ông Nguyễn Ngọc Huy,Ông Nguyễn Ngọc Huy
Ông Nguyễn Hữu Lễ,Ông Nguyễn Hữu Lễ,Ông Nguyễn Hữu Lễ
Ông Phạm Công Thành,Ông Phạm Công Thành,Ông Phạm Công Thành
Ông Nguyễn Huy Lễ,Ông Nguyễn Huy Lễ,Ông Nguyễn Huy Lễ
