row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Nhà cửa,vật kiến trúc",VNDTổng cộng,numeric__Quyền sử dụng đất,"numeric__Nhà cửa,vật kiến trúc",numeric__VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm và cuối năm,Nguyên giá > Số đầu năm và cuối năm,Số đầu năm và cuối năm,7.306.972.991,68.357.297.281,75.664.270.272,7306972991.0,68357297281.0,75664270272.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,-,(10.880.843.200),(10.880.843.200),,-10880843200.0,-10880843200.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(1.536.119.040),(1.536.119.040),,-1536119040.0,-1536119040.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,-,(12.416.962.240),(12.416.962.240),,-12416962240.0,-12416962240.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,7.306.972.991,57.476.454.081,64.783.427.072,7306972991.0,57476454081.0,64783427072.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,7.306.972.991,55.940.335.041,63.247.308.032,7306972991.0,55940335041.0,63247308032.0
