row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu về cho vay dài hạn khác,Phải thu về cho vay dài hạn khác,Phải thu về cho vay dài hạn khác,Phải thu về cho vay dài hạn khác,Phải thu về cho vay dài hạn khác,Phải thu về cho vay dài hạn khác,,,
Ngô Mây(i),Phải thu về cho vay dài hạn khác > Ngô Mây(i),Ngô Mây(i),Cho vay,388.963.490.356,-,,388963490356.0,
Cao Óc Hòa Phú (ii),Phải thu về cho vay dài hạn khác > Cao Óc Hòa Phú (ii),Cao Óc Hòa Phú (ii),Cho vay,150.000.000.000,-,,150000000000.0,
Cao Óc Thiên Long (iii),Phải thu về cho vay dài hạn khác > Cao Óc Thiên Long (iii),Cao Óc Thiên Long (iii),Cho vay,142.961.000.000,-,,142961000000.0,
,,,,681.924.490.356,-,,681924490356.0,
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,
Serenity (iv),Phải thu dài hạn khác > Serenity (iv),Serenity (iv),HĐHTĐT,144.616.276.326,125.392.276.326,,144616276326.0,125392276326.0
Coinin (v),Phải thu dài hạn khác > Coinin (v),Coinin (v),HĐHTĐT,132.684.101.412,128.821.101.412,,132684101412.0,128821101412.0
ĐK Phú Quốc (vi),Phải thu dài hạn khác > ĐK Phú Quốc (vi),ĐK Phú Quốc (vi),HĐHTĐT,42.144.600.000,41.577.600.000,,42144600000.0,41577600000.0
,,,,319.444.977.738,295.790.977.738,,319444977738.0,295790977738.0
