row_label_raw,row_label_full,Chi phí thuế TNDN hiện hànhĐiều chỉnh thuế TNDN trích thiếu trong nhữngnăm trước,Năm nay > 180.937.475.065 > 632.400,VNDNăm trước > 178.419.203.498 > -,numeric__Năm nay > 180.937.475.065 > 632.400,numeric__VNDNăm trước > 178.419.203.498 > -
Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,(106.619.311.544),-,-106619311544.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,74.318.795.921,178.419.203.498,74318795921.0,178419203498.0
