row_label_raw,row_label_full,Số đầu năm,Năm nay > 23.901.126.134,VNDNăm trước > 28.527.658.748,numeric__Năm nay > 23.901.126.134,numeric__VNDNăm trước > 28.527.658.748
Tăng,Tăng,Tăng,21.001.465.243,4.520.000.000,21001465243.0,4520000000.0
Giảm,Giảm,Giảm,(13.081.212.604),(9.146.532.614),-13081212604.0,-9146532614.0
Số cuối năm,Số cuối năm,Số cuối năm,31.821.378.773,23.901.126.134,31821378773.0,23901126134.0
