row_label_raw,row_label_full,Chủ tịch HĐQT
Phó Chủ tịch HĐQT,Phó Chủ tịch HĐQT,Phó Chủ tịch HĐQT
Thành viên HĐQT kiểm Tổng Giám đốc,Thành viên HĐQT kiểm Tổng Giám đốc,Thành viên HĐQT kiểm Tổng Giám đốc
Thành viên HĐQT,Thành viên HĐQT,Thành viên HĐQT
Thành viên độc lập HĐQT,Thành viên độc lập HĐQT,Thành viên độc lập HĐQT
Thành viên độc lập HĐQT kiểm,Thành viên độc lập HĐQT kiểm,Thành viên độc lập HĐQT kiểm
Chủ tịch Ủy ban kiểm toán,Chủ tịch Ủy ban kiểm toán,Chủ tịch Ủy ban kiểm toán
Phó Tổng Giám đốc,Phó Tổng Giám đốc,Phó Tổng Giám đốc
Phó Tổng Giám đốc,Phó Tổng Giám đốc,Phó Tổng Giám đốc
Phó Tổng Giám đốc,Phó Tổng Giám đốc,Phó Tổng Giám đốc
Kế toán Trường,Kế toán Trường,Kế toán Trường
Phó Tổng Giám đốc đến ngày 15 tháng,Phó Tổng Giám đốc đến ngày 15 tháng,Phó Tổng Giám đốc đến ngày 15 tháng
10 năm 2024,10 năm 2024,10 năm 2024
Phó Tổng Giám đốc đến ngày 23 tháng,Phó Tổng Giám đốc đến ngày 23 tháng,Phó Tổng Giám đốc đến ngày 23 tháng
1 năm 2025,1 năm 2025,1 năm 2025
Phó Tổng Giám đốc từ ngày 22 tháng 1,Phó Tổng Giám đốc từ ngày 22 tháng 1,Phó Tổng Giám đốc từ ngày 22 tháng 1
năm 2025,năm 2025,năm 2025
Phó Tổng Giám đốc từ ngày 22 tháng 1,Phó Tổng Giám đốc từ ngày 22 tháng 1,Phó Tổng Giám đốc từ ngày 22 tháng 1
năm 2025,năm 2025,năm 2025
Công ty con,Công ty con,Công ty con
Công ty con,Công ty con,Công ty con
Công ty con,Công ty con,Công ty con
Công ty con,Công ty con,Công ty con
Công ty con,Công ty con,Công ty con
Công ty con,Công ty con,Công ty con
Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp
Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp
Công ty liên kết đến ngày 23 tháng 9 năm,Công ty liên kết đến ngày 23 tháng 9 năm,Công ty liên kết đến ngày 23 tháng 9 năm
2024,2024,2024
Công ty liên kết,Công ty liên kết,Công ty liên kết
Công ty liên kết,Công ty liên kết,Công ty liên kết
Bên liên quan của Phó Chủ tịch HĐQT,Bên liên quan của Phó Chủ tịch HĐQT,Bên liên quan của Phó Chủ tịch HĐQT
Bên liên quan của Thành viên HĐQT,Bên liên quan của Thành viên HĐQT,Bên liên quan của Thành viên HĐQT
Bên liên quan của Thành viên HĐQT,Bên liên quan của Thành viên HĐQT,Bên liên quan của Thành viên HĐQT
Bên liên quan của Phó Chủ tịch HĐQT,Bên liên quan của Phó Chủ tịch HĐQT,Bên liên quan của Phó Chủ tịch HĐQT
Bên liên quan của Chủ tịch HĐQT,Bên liên quan của Chủ tịch HĐQT,Bên liên quan của Chủ tịch HĐQT
Bên liên quan của Chủ tịch HĐQT,Bên liên quan của Chủ tịch HĐQT,Bên liên quan của Chủ tịch HĐQT
Bên liên quan của Chủ tịch HĐQT,Bên liên quan của Chủ tịch HĐQT,Bên liên quan của Chủ tịch HĐQT
Bên liên quan của Chủ tịch HĐQT,Bên liên quan của Chủ tịch HĐQT,Bên liên quan của Chủ tịch HĐQT
Bên liên quan của Công ty con,Bên liên quan của Công ty con,Bên liên quan của Công ty con
Bên liên quan của Công ty con,Bên liên quan của Công ty con,Bên liên quan của Công ty con
Bên liên quan của Công ty con,Bên liên quan của Công ty con,Bên liên quan của Công ty con
Bên liên quan của Công ty con,Bên liên quan của Công ty con,Bên liên quan của Công ty con
Bên liên quan của Công ty con,Bên liên quan của Công ty con,Bên liên quan của Công ty con
