row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,6.716.462.190.000,71.680.300.000,207.383.584.076,1.228.213.171.383,8.223.739.245.459,6716462190000.0,71680300000.0,207383584076.0,1228213171383.0,8223739245459.0
- Phát hành cổ phiếu,Năm trước > - Phát hành cổ phiếu,- Phát hành cổ phiếu,671.646.210.000,(559.400.000),-,-,671.086.810.000,671646210000.0,-559400000.0,,,671086810000.0
- Lợi nhuận thuần trong năm,Năm trước > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,750.552.316.518,750.552.316.518,,,,750552316518.0,750552316518.0
- Phân phối lợi nhuận,Năm trước > - Phân phối lợi nhuận,- Phân phối lợi nhuận,-,-,22.745.258.259,(22.745.258.259),-,,,22745258259.0,-22745258259.0,
- Thù lao HĐQT,Năm trước > - Thù lao HĐQT,- Thù lao HĐQT,-,-,-,(4.520.000.000),(4.520.000.000),,,,-4520000000.0,-4520000000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,7.388.108.400.000,71.120.900.000,230.128.842.335,1.951.500.229.642,9.640.858.371.977,7388108400000.0,71120900000.0,230128842335.0,1951500229642.0,9640858371977.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,7.388.108.400.000,71.120.900.000,230.128.842.335,1.951.500.229.642,9.640.858.371.977,7388108400000.0,71120900000.0,230128842335.0,1951500229642.0,9640858371977.0
- Phát hành cổ phiếu (*),Năm nay > - Phát hành cổ phiếu (*),- Phát hành cổ phiếu (*),1.343.292.430.000,(646.100.000),-,-,1.342.646.330.000,1343292430000.0,-646100000.0,,,1342646330000.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,149.604.280.338,149.604.280.338,,,,149604280338.0,149604280338.0
- Phân phối lợi nhuận,Năm nay > - Phân phối lợi nhuận,- Phân phối lợi nhuận,-,-,13.681.172.194,(27.362.344.388),(13.681.172.194),,,13681172194.0,-27362344388.0,-13681172194.0
- Thù lao HĐQT,Năm nay > - Thù lao HĐQT,- Thù lao HĐQT,-,-,-,(4.972.130.256),(4.972.130.256),,,,-4972130256.0,-4972130256.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,8.731.400.830.000,70.474.800.000,243.810.014.529,2.068.770.035.336,11.114.455.679.865,8731400830000.0,70474800000.0,243810014529.0,2068770035336.0,11114455679865.0
