row_label_raw,row_label_full,STT,Tên công ty,Lĩnh vực kinh doanh,Số cuối năm > Giá trị đầu tư(VND),Số cuối năm > Tỷ lệ sở hữuvà quyền biểuquyết trực tiếp%,Số đầu năm > Giá trị đầu tư(VND),Số đầu năm > Tỷ lệ sở hữuvà quyền biểuquyết trực tiếp%,numeric__Tên công ty,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm > Giá trị đầu tư(VND),numeric__Số cuối năm > Tỷ lệ sở hữuvà quyền biểuquyết trực tiếp%,numeric__Số đầu năm > Giá trị đầu tư(VND),numeric__Số đầu năm > Tỷ lệ sở hữuvà quyền biểuquyết trực tiếp%
1,1,1,Công ty Cổ phần Bất động sản Đầu tư và Phát triển Cao ốc Bình Dương,Kinh doanh Bất động sản,3.473.659.990.959,"99,5",3.473.659.990.959,"99,5",,,3473659990959.0,99.5,3473659990959.0,99.5
2,2,2,Công ty Cổ phần Bến Thành - Long Hải,Kinh doanh Bất động sản,3.350.000.000.000,"99,9",3.350.000.000.000,"99,9",,,3350000000000.0,99.9,3350000000000.0,99.9
3,3,3,Công ty Cổ phần Đầu tư Serenity,Kinh doanh Bất động sản,1.360.000.000.000,"99,34",1.360.000.000.000,"99,34",,,1360000000000.0,99.34,1360000000000.0,99.34
4,4,4,Công ty Cổ phần Đầu tư Bắc Cường,Kinh doanh Bất động sản,758.835.000.000,99,758.835.000.000,99,,,758835000000.0,99.0,758835000000.0,99.0
5,5,5,Công ty Cổ phần ĐK Phú Quốc,Kinh doanh Bất động sản và xây dựng công trình,393.624.000.000,99,393.624.000.000,99,,,393624000000.0,99.0,393624000000.0,99.0
6,6,6,Công ty TNHH Đầu tư Xây dựng Hạ tầng Kỹ thuật Coinin,Kinh doanh Bất động sản và xây dựng công trình,300.000.000.000,"99,9",300.000.000.000,"99,9",,,300000000000.0,99.9,300000000000.0,99.9
7,7,7,Công ty Cổ phần Đầu tư Bất động sản Ngô Mây (*),Kinh doanh Bất động sản,221.785.000.000,94,215.232.000.000,94,,,221785000000.0,94.0,215232000000.0,94.0
,,,TỔNG CỘNG,,9.857.903.990.959,,9.851.350.990.959,,,,9857903990959.0,,9851350990959.0,
