row_label_raw,row_label_full,Ông Nguyễn Văn Đạt,Chữ tịch,numeric__Chữ tịch
Ông Nguyễn Tấn Danh,Ông Nguyễn Tấn Danh,Ông Nguyễn Tấn Danh,Phó Chủ tịch,
Ông Bùi Quang Anh Vũ,Ông Bùi Quang Anh Vũ,Ông Bùi Quang Anh Vũ,Thành viên,
Ông Lê Quang Phúc,Ông Lê Quang Phúc,Ông Lê Quang Phúc,Thành viên,
Ông Trần Trọng Gia Vinh,Ông Trần Trọng Gia Vinh,Ông Trần Trọng Gia Vinh,Thành viên độc lập,
Ông Dương Hảo Tôn,Ông Dương Hảo Tôn,Ông Dương Hảo Tôn,Thành viên độc lập,
