row_label_raw,row_label_full,STT Tên công ty,STT Tên công ty_1,Lĩnh vực kinh doanh,Số cuối năm > Giá trị đầu tư (VND),Số cuối năm > Dự phòng (VND),Số cuối năm > Tỷ lệ sở hữu và quyền biểu quyết trực tiếp %,Số đầu năm > Giá trị đầu tư (VND),Số đầu năm > Dự phòng (VND),Số đầu năm > Tỷ lệ sở hữu và quyền biểu quyết trực tiếp %,numeric__STT Tên công ty_1,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm > Giá trị đầu tư (VND),numeric__Số cuối năm > Dự phòng (VND),numeric__Số cuối năm > Tỷ lệ sở hữu và quyền biểu quyết trực tiếp %,numeric__Số đầu năm > Giá trị đầu tư (VND),numeric__Số đầu năm > Dự phòng (VND),numeric__Số đầu năm > Tỷ lệ sở hữu và quyền biểu quyết trực tiếp %
1,1,1,Công ty Cổ phần Bất động sản Commonwealth Properties,"Tư vấn, môi giới Bất động sản",85.860.000.000,(72.490.331.916),27,85.860.000.000,-,27,,,85860000000.0,-72490331916.0,27.0,85860000000.0,,27.0
2,2,2,Công ty TNHH Đầu tư Xây dựng Công trình PDP (*),Kinh doanh Bất động sản,19.963.107.000,(281.496.411),49,16.720.107.000,-,49,,,19963107000.0,-281496411.0,49.0,16720107000.0,,49.0
3,3,3,Công ty Cổ phần Đầu tư Bất động sản BIDICI (Thuyết minh số 4),Kinh doanh Bất động sản,-,-,-,1.117.200.000.000,-,49,,,,,,1117200000000.0,,49.0
,,,TỔNG CỘNG,,105.823.107.000,(72.771.828.327),,1.219.780.107.000,-,,,,105823107000.0,-72771828327.0,,1219780107000.0,,
