row_label_raw,row_label_full,Bên cho vay,Số cuối năm VND,Kỳ hạn trả gốc,Mục đích,Lãi suất %/năm,Hình thức đầm bảo,numeric__Số cuối năm VND,numeric__Kỳ hạn trả gốc,numeric__Mục đích,numeric__Lãi suất %/năm,numeric__Hình thức đầm bảo
Ông Vũ Dương Hiền,Ông Vũ Dương Hiền,Ông Vũ Dương Hiền,Ông Vũ Dương Hiền,Ông Vũ Dương Hiền,Ông Vũ Dương Hiền,Ông Vũ Dương Hiền,Ông Vũ Dương Hiền,,,,,
Khoản vay 1,Ông Vũ Dương Hiền > Khoản vay 1,Khoản vay 1,60.000.000.000,Ngày 8 tháng 1 năm 2025,Bổ sung vốn lưu động,12,6.200.496 cổ phiếu PDR sở hữu bởi cổ đông,60000000000.0,,,12.0,
Khoản vay 2,Ông Vũ Dương Hiền > Khoản vay 2,Khoản vay 2,50.000.000.000,Ngày 21 tháng 10 năm 2025,Bổ sung vốn lưu động,12,5.000.000 cổ phiếu PDR sở hữu bởi cổ đông,50000000000.0,,,12.0,
Công ty Cổ phần Đầu tư Tài chính Việt Long,Công ty Cổ phần Đầu tư Tài chính Việt Long,Công ty Cổ phần Đầu tư Tài chính Việt Long,Công ty Cổ phần Đầu tư Tài chính Việt Long,Công ty Cổ phần Đầu tư Tài chính Việt Long,Công ty Cổ phần Đầu tư Tài chính Việt Long,Công ty Cổ phần Đầu tư Tài chính Việt Long,Công ty Cổ phần Đầu tư Tài chính Việt Long,,,,,
Khoản vay 1,Công ty Cổ phần Đầu tư Tài chính Việt Long > Khoản vay 1,Khoản vay 1,80.000.000.000,Ngày 3 tháng 6 năm 2025,Bổ sung vốn lưu động,11,8.650.000 cổ phiếu PDR sở hữu bởi cổ đông,80000000000.0,,,11.0,
Ông Đoàn Đức Luyện,Ông Đoàn Đức Luyện,Ông Đoàn Đức Luyện,Ông Đoàn Đức Luyện,Ông Đoàn Đức Luyện,Ông Đoàn Đức Luyện,Ông Đoàn Đức Luyện,Ông Đoàn Đức Luyện,,,,,
Khoản vay 1,Ông Đoàn Đức Luyện > Khoản vay 1,Khoản vay 1,72.000.000.000,Ngày 8 tháng 1 năm 2026,Bổ sung vốn lưu động,12,7.526.420 cổ phiếu PDR sở hữu bởi cổ đông,72000000000.0,,,12.0,
Khoản vay 2,Ông Đoàn Đức Luyện > Khoản vay 2,Khoản vay 2,40.000.000.000,Ngày 12 tháng 12 năm 2025,Bổ sung vốn lưu động,12,4.080.000 cổ phiếu PDR sở hữu bởi cổ đông,40000000000.0,,,12.0,
Công ty Cổ phần Kinh Doanh và Dịch Vụ Bất Động Sản Realty Holdings,Công ty Cổ phần Kinh Doanh và Dịch Vụ Bất Động Sản Realty Holdings,Công ty Cổ phần Kinh Doanh và Dịch Vụ Bất Động Sản Realty Holdings,Công ty Cổ phần Kinh Doanh và Dịch Vụ Bất Động Sản Realty Holdings,Công ty Cổ phần Kinh Doanh và Dịch Vụ Bất Động Sản Realty Holdings,Công ty Cổ phần Kinh Doanh và Dịch Vụ Bất Động Sản Realty Holdings,Công ty Cổ phần Kinh Doanh và Dịch Vụ Bất Động Sản Realty Holdings,Công ty Cổ phần Kinh Doanh và Dịch Vụ Bất Động Sản Realty Holdings,,,,,
Khoản vay 1,Công ty Cổ phần Kinh Doanh và Dịch Vụ Bất Động Sản Realty Holdings > Khoản vay 1,Khoản vay 1,7.324.454.094,Ngày 26 tháng 4 năm 2027,Bổ sung vốn lưu động,10,Tín chấp,7324454094.0,,,10.0,
