row_label_raw,row_label_full,Lãi do thanh lý khoản đầu tư (Thuyết minh số 4),Năm nay > 391.020.000.000,VNDNăm trước > 942.295.863.325,numeric__Năm nay > 391.020.000.000,numeric__VNDNăm trước > 942.295.863.325
Thu nhập cổ tức,Thu nhập cổ tức,Thu nhập cổ tức,60.740.000.000,119.542.910.359,60740000000.0,119542910359.0
"Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay",21.552.660.339,5.740.755.656,21552660339.0,5740755656.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,473.312.660.339,1.067.579.529.340,473312660339.0,1067579529340.0
