row_label_raw,row_label_full,STT,Tên công ty,Lĩnh vực kinh doanh,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Tên công ty,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
STT,STT,STT,Tên công ty,Lĩnh vực kinh doanh,Quyền sở hữu %,Quyền biểu quyết %,Quyền sở hữu %,Quyền biểu quyết %,,,,,,
1,STT > 1,1,Công ty Cổ phần Bất động sản Đầu tư và Phát triển Cao ốc Thiên Long,Kinh doanh Bất động sản,"99,4","99,9","99,4","99,9",,,99.4,99.9,99.4,99.9
2,STT > 2,2,Công ty Cổ phần Bất động sản Đầu tư và Phát triển Cao ốc Hòa Phú,Kinh doanh Bất động sản,"99,4","99,9","99,4","99,9",,,99.4,99.9,99.4,99.9
