row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc",Phương tiện vận tải,"Máy móc, thiết bị",VND Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Phương tiện vận tải,"numeric__Máy móc, thiết bị",numeric__VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,-,36.876.865.355,5.383.225.593,42.260.090.948,,36876865355.0,5383225593.0,42260090948.0
Mua mới,Nguyên giá > Mua mới,Mua mới,-,-,145.000.000,145.000.000,,,145000000.0,145000000.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,331.701.543.666,-,-,331.701.543.666,331701543666.0,,,331701543666.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,331.701.543.666,36.876.865.355,5.528.225.593,374.106.634.614,331701543666.0,36876865355.0,5528225593.0,374106634614.0
Trong đó: Đã khấu hao hết,Nguyên giá > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,-,12.768.319.538,4.371.938.593,17.140.258.131,,12768319538.0,4371938593.0,17140258131.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,-,(26.119.024.746),(4.980.320.759),(31.099.345.505),,-26119024746.0,-4980320759.0,-31099345505.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(5.528.359.061),(4.336.503.528),(271.319.214),(10.136.181.803),-5528359061.0,-4336503528.0,-271319214.0,-10136181803.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(5.528.359.061),(30.455.528.274),(5.251.639.973),(41.235.527.308),-5528359061.0,-30455528274.0,-5251639973.0,-41235527308.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,-,10.757.840.609,402.904.834,11.160.745.443,,10757840609.0,402904834.0,11160745443.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,326.173.184.605,6.421.337.081,276.585.620,332.871.107.306,326173184605.0,6421337081.0,276585620.0,332871107306.0
Trong đó: Tài sản sử dụng để thế chấp (Thuyết minh số 22),Giá trị còn lại > Trong đó: Tài sản sử dụng để thế chấp (Thuyết minh số 22),Trong đó: Tài sản sử dụng để thế chấp (Thuyết minh số 22),326.173.184.605,-,-,-,326173184605.0,,,
