row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,29.607.547.143,49.493.570.946,29607547143.0,49493570946.0
Thu từ bảo hiểm,Thu từ bảo hiểm,Thu từ bảo hiểm,6.713.245.904,2.000.000.000,6713245904.0,2000000000.0
"Lãi từ thanh lý công cụ, dụng cụ","Lãi từ thanh lý công cụ, dụng cụ","Lãi từ thanh lý công cụ, dụng cụ",5.553.456.366,8.935.594.058,5553456366.0,8935594058.0
Lãi chậm thanh toán,Lãi chậm thanh toán,Lãi chậm thanh toán,4.486.807.319,23.378.875.107,4486807319.0,23378875107.0
Tiền đặt cọc nhận được do khách hàng hủy hợp đồng,Tiền đặt cọc nhận được do khách hàng hủy hợp đồng,Tiền đặt cọc nhận được do khách hàng hủy hợp đồng,3.395.189.507,3.005.327.412,3395189507.0,3005327412.0
Khác,Khác,Khác,9.458.848.047,12.173.774.369,9458848047.0,12173774369.0
Chi phí khác,Chi phí khác,Chi phí khác,(11.587.194.698),(9.596.444.900),-11587194698.0,-9596444900.0
Tiền phạt,Tiền phạt,Tiền phạt,(5.722.673.309),(7.251.687.202),-5722673309.0,-7251687202.0
Xóa sổ tài sản,Xóa sổ tài sản,Xóa sổ tài sản,(1.653.257.745),-,-1653257745.0,
Khác,Khác,Khác,(4.211.263.644),(2.344.757.698),-4211263644.0,-2344757698.0
LỢI NHUẬN KHÁC,LỢI NHUẬN KHÁC,LỢI NHUẬN KHÁC,18.020.352.445,39.897.126.046,18020352445.0,39897126046.0
