row_label_raw,row_label_full,Khoản vay 1 > Khoản vay 2,24.339.088.210 > 1.097.250.000,Từ ngày 9 tháng 10 năm 2022 đến 8 tháng 5 năm 2023 > Từ ngày 5 tháng 1 năm 2019 đến 5 tháng 2 năm 2022,Lãi suất áp dụng theo từng lần giải ngân,Tín chấp > Máy móc thiết bị,numeric__24.339.088.210 > 1.097.250.000,numeric__Từ ngày 9 tháng 10 năm 2022 đến 8 tháng 5 năm 2023 > Từ ngày 5 tháng 1 năm 2019 đến 5 tháng 2 năm 2022,numeric__Lãi suất áp dụng theo từng lần giải ngân,numeric__Tín chấp > Máy móc thiết bị
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,346.500.000,,,,346500000.0,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,25.089.838.210,,,,25089838210.0,,,
