row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,954.464.570.000,30.494.112.981,47.125.000,96.298.969.784,535.241.569.478,213.611.887.216,1.830.158.234.459,954464570000.0,30494112981.0,47125000.0,96298969784.0,535241569478.0,213611887216.0,1830158234459.0
Phát hành cổ phiếu,Năm trước > Phát hành cổ phiếu,Phát hành cổ phiếu,10.000.000.000,-,-,-,-,1.414.412.667,11.414.412.667,10000000000.0,,,,,1414412667.0,11414412667.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,859.188.706.270,1.321.349.450,860.510.055.720,,,,,859188706270.0,1321349450.0,860510055720.0
Chia cổ tức bằng cổ phiếu,Năm trước > Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,334.043.000.000,-,-,-,(334.043.000.000),-,-,334043000000.0,,,,-334043000000.0,,
Chia cổ tức bằng tiền,Năm trước > Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,(95.446.457.000),(438.621.833),(95.885.078.833),,,,,-95446457000.0,-438621833.0,-95885078833.0
Trích lập các quỹ,Năm trước > Trích lập các quỹ,Trích lập các quỹ,-,-,-,142.915.077,(142.915.077),-,-,,,,142915077.0,-142915077.0,,
"Trích lập quỹ khen thưởng, phúc lợi","Năm trước > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,(85.328.682.441),(155.298.829),(85.483.981.270),,,,,-85328682441.0,-155298829.0,-85483981270.0
Thường ban điều hành và cán bộ trọng yếu,Năm trước > Thường ban điều hành và cán bộ trọng yếu,Thường ban điều hành và cán bộ trọng yếu,-,-,-,-,(44.299.598.681),-,(44.299.598.681),,,,,-44299598681.0,,-44299598681.0
Thù lao Hội đồng Quản trị,Năm trước > Thù lao Hội đồng Quản trị,Thù lao Hội đồng Quản trị,-,-,-,-,(5.216.367.910),-,(5.216.367.910),,,,,-5216367910.0,,-5216367910.0
