row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,55.485.158.262,1.882.695.925.533,51.351.301.725,18.061.662.308,2.007.594.047.828,55485158262.0,1882695925533.0,51351301725.0,18061662308.0,2007594047828.0
Mua mới,Nguyên giá > Mua mới,Mua mới,2.602.766.017,207.315.680.020,8.583.820.420,2.321.770.728,220.824.037.185,2602766017.0,207315680020.0,8583820420.0,2321770728.0,220824037185.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,21.969.861.964,7.847.810.807,2.202.951.509,367.076.000,32.387.700.280,21969861964.0,7847810807.0,2202951509.0,367076000.0,32387700280.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(124.190.804.566),(2.370.950.704),(178.083.000),(126.739.838.270),,-124190804566.0,-2370950704.0,-178083000.0,-126739838270.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,80.057.786.243,1.973.668.611.794,59.767.122.950,20.572.426.036,2.134.065.947.023,80057786243.0,1973668611794.0,59767122950.0,20572426036.0,2134065947023.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,739.233.478,107.206.507.222,5.264.536.726,5.486.890.686,118.697.168.112,739233478.0,107206507222.0,5264536726.0,5486890686.0,118697168112.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,(10.281.865.032),(592.566.993.519),(17.524.548.364),(9.682.813.882),(630.056.220.797),-10281865032.0,-592566993519.0,-17524548364.0,-9682813882.0,-630056220797.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(6.702.238.788),(221.177.255.215),(5.437.582.729),(2.599.886.354),(235.916.963.086),-6702238788.0,-221177255215.0,-5437582729.0,-2599886354.0,-235916963086.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,104.508.214.690,2.325.443.890,156.218.365,106.989.876.945,,104508214690.0,2325443890.0,156218365.0,106989876945.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,80.850.000,(96.800.000),-,15.950.000,-,80850000.0,-96800000.0,,15950000.0,
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(16.903.253.820),(709.332.834.044),(20.636.687.203),(12.110.531.871),(758.983.306.938),-16903253820.0,-709332834044.0,-20636687203.0,-12110531871.0,-758983306938.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,45.203.293.230,1.290.128.932.014,33.826.753.361,8.378.848.426,1.377.537.827.031,45203293230.0,1290128932014.0,33826753361.0,8378848426.0,1377537827031.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,63.154.532.423,1.264.335.777.750,39.130.435.747,8.461.894.165,1.375.082.640.085,63154532423.0,1264335777750.0,39130435747.0,8461894165.0,1375082640085.0
Trong đó:Tải sản sử dụng để thế chấp(Thuyết minh số 23.1 và 23.3),Giá trị còn lại > Trong đó:Tải sản sử dụng để thế chấp(Thuyết minh số 23.1 và 23.3),Trong đó:Tải sản sử dụng để thế chấp(Thuyết minh số 23.1 và 23.3),6.521.507.586,240.424.106.825,-,-,266.945.614.411,6521507586.0,240424106825.0,,,266945614411.0
