row_label_raw,row_label_full,Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Công tyliên kết,Chi phíthầu phụ,85.778.690.403,59.222.841.462,numeric__Công tyliên kết,numeric__Chi phíthầu phụ,numeric__85.778.690.403,numeric__59.222.841.462
Công ty Cổ phần Cơ khívà Nhôm kính Anh Việt,Công ty Cổ phần Cơ khívà Nhôm kính Anh Việt,Công ty Cổ phần Cơ khívà Nhôm kính Anh Việt,Công tyliên kết,Chi phíthầu phụ,27.265.662.212,4.962.750.495,,,27265662212.0,4962750495.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,113.044.352.615,64.185.591.957,,,113044352615.0,64185591957.0
