row_label_raw,row_label_full,TT,Tên công ty con,Trụ sở chính,Hoạt động chính,Tỉnh trạng,Tỷ lệ sở hữu(%),Tỷ lệ quyền biểu quyết(%),numeric__Tên công ty con,numeric__Trụ sở chính,numeric__Hoạt động chính,numeric__Tỉnh trạng,numeric__Tỷ lệ sở hữu(%),numeric__Tỷ lệ quyền biểu quyết(%)
II,II,II,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,,,,,,
1,II > 1,1,Công ty Cổ phần Đầu tư và Phát triển Hòa Yên,Tỉnh Phú Yên,Đầu tư các dự án xây dựng công trình giao thông,Đang hoạt động,"97,53","99,55",,,,,97.53,99.55
2,II > 2,2,Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Thành phố Hồ Chí Minh,"Sản xuất, mua bán, gia công và lắp đặt hàng mộc gia dụng, hàng trang trí nội thất",Đang hoạt động,"97,30","99,31",,,,,97.3,99.31
3,II > 3,3,Công ty Cổ phần Đầu tư và Năng lượng Tái tạo Hòa Bình (trước đây là Công ty Cổ phần Xuất Nhập khấu Việt Ta),Thành phố Hồ Chí Minh,"Mua bán vật liệu xây dựng, hàng trang trí nội thất; xúc tiến thương mại; đại lý ký gồi hàng hóa; dịch vụ quảng cáo; lắp đặt và gia công hàng trang trí nội thất",Đang hoạt động,"57,02","58,20",,,,,57.02,58.2
4,II > 4,4,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Thành phố Hồ Chí Minh,Kinh doanh bất động sản và quyền sử dụng đất; và xây dựng nhà các loại,Đang hoạt động,"98,93","99,00",,,,,98.93,99.0
5,II > 5,5,Công ty Cổ phần Okamura Home Vietnam,Thành phố Hồ Chí Minh,"Tư vấn, quản lý và môi giới bất động sản",Đang hoạt động,"50,54","50,57",,,,,50.54,50.57
6,II > 6,6,Công ty TNHH Bất động sản Pax Land (trước đây là Công ty TNHH Sản giao dịch Bất động sản),Thành phố Hồ Chí Minh,"Tư vấn, môi giới và đầu giá bất động sản và quyền sử dụng đất",Đang hoạt động,"98,93","99,00",,,,,98.93,99.0
7,II > 7,7,Công ty TNHH Sài Gòn Ngày Môi,Thành phố Hồ Chí Minh,Kinh doanh các dự án bất động sản,Đang hoạt động,"98,93","100,00",,,,,98.93,100.0
