row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Lợi nhuận chưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,14.526.576.349,3.764.589.899,\( \bar{0}0.761.986.450 \),(1.540.389.632),14526576349.0,3764589899.0,,-1540389632.0
Chi phí dự án chưa ghi nhận doanh thu,Tài sản thuế thu nhập hoãn lại > Chi phí dự án chưa ghi nhận doanh thu,Chi phí dự án chưa ghi nhận doanh thu,13.640.941.406,10.302.110.284,3.338.831.122,10.302.110.284,13640941406.0,10302110284.0,3338831122.0,10302110284.0
Lỗ năm trước chuyển sang của các công ty con,Tài sản thuế thu nhập hoãn lại > Lỗ năm trước chuyển sang của các công ty con,Lỗ năm trước chuyển sang của các công ty con,9.188.752.365,14.510.833.142,(5.322.080.777),2.276.106.426,9188752365.0,14510833142.0,-5322080777.0,2276106426.0
Dự phòng trợ cấp thời việc,Tài sản thuế thu nhập hoãn lại > Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,5.427.758.681,4.874.741.133,553.017.548,864.400.666,5427758681.0,4874741133.0,553017548.0,864400666.0
Dự phòng giảm giá hàng tồn kho,Tài sản thuế thu nhập hoãn lại > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,4.107.154.223,2.712.984.613,1.394.169.610,1.128.401.779,4107154223.0,2712984613.0,1394169610.0,1128401779.0
Thanh lý công ty con,Tài sản thuế thu nhập hoãn lại > Thanh lý công ty con,Thanh lý công ty con,-,-,-,40.378.000,,,,40378000.0
Chi phí phải trả ngắn hạn,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,16.238.681,28.432.963,(12.194.282),(19.054.447),16238681.0,28432963.0,-12194282.0,-19054447.0
,,,46.907.421.705,36.193.692.034,10.713.729.671,13.051.953.076,46907421705.0,36193692034.0,10713729671.0,13051953076.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Dự phòng khoản đầu tư vào các công ty con và công ty liên kết,Thuế thu nhập hoãn lại phải trả > Dự phòng khoản đầu tư vào các công ty con và công ty liên kết,Dự phòng khoản đầu tư vào các công ty con và công ty liên kết,(35.988.894.500),(31.342.497.316),(4.646.397.184),(1.608.116.581),-35988894500.0,-31342497316.0,-4646397184.0,-1608116581.0
Thu nhập chưa tính thuế từ hoạt động kinh doanh cơ sở hạ tầng,Thuế thu nhập hoãn lại phải trả > Thu nhập chưa tính thuế từ hoạt động kinh doanh cơ sở hạ tầng,Thu nhập chưa tính thuế từ hoạt động kinh doanh cơ sở hạ tầng,(56.446.169.062),(54.412.318.949),(2.033.850.113),(3.410.506.256),-56446169062.0,-54412318949.0,-2033850113.0,-3410506256.0
,,,(92.435.063.562),(85.754.816.265),(6.680.247.297),(5.018.622.837),-92435063562.0,-85754816265.0,-6680247297.0,-5018622837.0
Thu nhập thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại phải trả > Thu nhập thuế thu nhập hoãn lại,Thu nhập thuế thu nhập hoãn lại,,,4.033.482.374,8.033.330.239,,,4033482374.0,8033330239.0
