row_label_raw,row_label_full,Mã số,NGUỒN VỒN,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỒN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
300,300,300,C. NỘ PHẢI TRẢ,,12.977.675.539.888,11.531.462.789.980,,,12977675539888.0,11531462789980.0
310,310,310,I. Nợ ngắn hạn,,12.313.166.533.374,10.905.143.860.481,,,12313166533374.0,10905143860481.0
311,311,311,1. Phải trả người bán ngắn hạn,18,4.421.453.513.744,2.895.178.806.873,,18.0,4421453513744.0,2895178806873.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,19,1.418.282.344.491,1.438.432.219.242,,19.0,1418282344491.0,1438432219242.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,20,333.306.976.133,266.291.398.347,,20.0,333306976133.0,266291398347.0
314,314,314,4. Phải trả người lao động,,577.860.347.889,622.713.443.238,,,577860347889.0,622713443238.0
315,315,315,5. Chi phí phải trả ngắn hạn,21,1.214.770.253.995,1.321.255.488.949,,21.0,1214770253995.0,1321255488949.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,,24.024.422.381,10.181.988.608,,,24024422381.0,10181988608.0
319,319,319,7. Phải trả ngắn hạn khác,22,197.880.292.967,58.506.774.788,,22.0,197880292967.0,58506774788.0
320,320,320,8. Vay ngắn hạn,23,4.077.610.358.312,4.279.478.482.724,,23.0,4077610358312.0,4279478482724.0
321,321,321,9. Dự phòng phải trả ngắn hạn,,-,841.516.529,,,,841516529.0
322,322,322,"10. Quỷ khen thưởng, phúc lợi",,47.978.023.462,12.263.741.183,,,47978023462.0,12263741183.0
330,330,330,II. Nợ dài hạn,,664.509.006.514,626.318.929.499,,,664509006514.0,626318929499.0
337,337,337,1. Phải trả dài hạn khác,22,75.471.474.863,38.683.845.032,,22.0,75471474863.0,38683845032.0
338,338,338,2. Vay dài hạn,23,264.052.970.669,333.837.888.168,,23.0,264052970669.0,333837888168.0
341,341,341,3. Thuế thu nhập hoãn lại phải trả,32.3,92.435.063.562,85.754.816.265,,323.0,92435063562.0,85754816265.0
342,342,342,4. Dự phòng phải trả dài hạn,24,232.549.497.420,168.042.380.034,,24.0,232549497420.0,168042380034.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,2.922.827.549.324,2.466.961.397.438,,,2922827549324.0,2466961397438.0
410,410,410,I. Vốn chủ sở hữu,,2.922.827.549.324,2.466.961.397.438,,,2922827549324.0,2466961397438.0
411,411,411,1. Vốn cổ phần,25.1,1.960.749.770.000,1.298.507.570.000,,251.0,1960749770000.0,1298507570000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,1.960.749.770.000,1.298.507.570.000,,,1960749770000.0,1298507570000.0
412,412,412,2. Thăng dư vốn cổ phần,25.1,30.494.112.981,30.494.112.981,,251.0,30494112981.0,30494112981.0
417,417,417,3. Chênh lệch tỷ giá hối đoái,25.1,57.934.418,47.125.000,,251.0,57934418.0,47125000.0
418,418,418,4. Quỹ đầu tư phát triển,25.1,96.593.759.328,96.441.884.861,,251.0,96593759328.0,96441884861.0
421,421,421,5. Lợi nhuận sau thuế chưa phân phối,25.1,627.792.159.402,823.017.187.451,,251.0,627792159402.0,823017187451.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,65.591.336.440,56.151.604.337,,,65591336440.0,56151604337.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm này,,562.200.822.962,766.865.583.114,,,562200822962.0,766865583114.0
429,429,429,6. Lợi ích cổ đông không kiểm soát,25.1,207.139.813.195,218.453.517.145,,251.0,207139813195.0,218453517145.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,15.900.503.089.212,13.998.424.187.418,,,15900503089212.0,13998424187418.0
