row_label_raw,row_label_full,Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Công ty liên kết,Chi phíthầu phụ,125.287.010.319,37.554.586.181,numeric__Công ty liên kết,numeric__Chi phíthầu phụ,numeric__125.287.010.319,numeric__37.554.586.181
Công ty Cổ phần Cơ khívà Nhôm kính Anh Việt,Công ty Cổ phần Cơ khívà Nhôm kính Anh Việt,Công ty Cổ phần Cơ khívà Nhôm kính Anh Việt,Công ty liên kết,Chi phíthầu phụ,34.637.249.745,138.748.611.866,,,34637249745.0,138748611866.0
Công ty Cổ phần Cơ khívà Nhôm kính Anh Việt,Công ty Cổ phần Cơ khívà Nhôm kính Anh Việt,Công ty Cổ phần Cơ khívà Nhôm kính Anh Việt,Công ty liên kết,Chi phí thuềnhà xuống,3.816.761.543,-,,,3816761543.0,
Công ty Cổ phầnChứng khoán Sen Vàng,Công ty Cổ phầnChứng khoán Sen Vàng,Công ty Cổ phầnChứng khoán Sen Vàng,Công ty liên kết,Phí tư vấn,-,200.000.000,,,,200000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,163.741.021.607,176.503.198.047,,,163741021607.0,176503198047.0
