row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 9),Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9),Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9)
Ông Võ Minh Hoàng,Ông Võ Minh Hoàng,Ông Võ Minh Hoàng,Bên liên quan,Tạm ứng,15.081.563.561,-,,,15081563561.0,
Công ty TNHH Tiến Phát Đông Bắc,Công ty TNHH Tiến Phát Đông Bắc,Công ty TNHH Tiến Phát Đông Bắc,Công ty liên kết,Ký quỹChi trả hộ,5.000.000.00015.881.015,-10.940.000,,,5.00000000015881e+17,-10940000.0
Ông Lê Quốc Duy,Ông Lê Quốc Duy,Ông Lê Quốc Duy,Bên liên quan,Tạm ứng,2.167.140.410,-,,,2167140410.0,
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty liên kết,Phải thu cổ tứcChi trả hộ,1.715.757.44951.397.791,-31.324.471,,,1.715757449513978e+17,-31324471.0
Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty liên kết,Chi trả hộ,280.082.590,-,,,280082590.0,
Ông Lê Việt Hưng,Ông Lê Việt Hưng,Ông Lê Việt Hưng,Bên liên quan,Tạm ứng,100.000.000,-,,,100000000.0,
