row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Công cụ, dụng cụ sử dụng cho công trình xây dựng","Ngắn hạn > Công cụ, dụng cụ sử dụng cho công trình xây dựng","Công cụ, dụng cụ sử dụng cho công trình xây dựng",97.718.332.032,82.540.990.967,97718332032.0,82540990967.0
Khác,Ngắn hạn > Khác,Khác,37.689.179.628,29.178.363.646,37689179628.0,29178363646.0
,,,135.407.511.660,111.719.354.613,135407511660.0,111719354613.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Công cụ, dụng cụ sử dụng cho công trình xây dựng","Dài hạn > Công cụ, dụng cụ sử dụng cho công trình xây dựng","Công cụ, dụng cụ sử dụng cho công trình xây dựng",168.955.240.812,161.955.934.147,168955240812.0,161955934147.0
Tiền thuê đất trả trước,Dài hạn > Tiền thuê đất trả trước,Tiền thuê đất trả trước,132.093.797.974,115.382.715.876,132093797974.0,115382715876.0
Phí bảo lãnh,Dài hạn > Phí bảo lãnh,Phí bảo lãnh,15.083.305.942,13.208.125.394,15083305942.0,13208125394.0
"Chi phí môi giới, tiếp thị","Dài hạn > Chi phí môi giới, tiếp thị","Chi phí môi giới, tiếp thị",10.721.565.516,8.372.169.222,10721565516.0,8372169222.0
Chi phí nhà mẫu dự án Lakeside,Dài hạn > Chi phí nhà mẫu dự án Lakeside,Chi phí nhà mẫu dự án Lakeside,2.317.697.993,3.573.150.043,2317697993.0,3573150043.0
Khác,Dài hạn > Khác,Khác,24.646.341.645,20.880.672.249,24646341645.0,20880672249.0
,,,353.817.949.882,323.372.766.931,353817949882.0,323372766931.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,489.225.461.542,435.092.121.544,489225461542.0,435092121544.0
