row_label_raw,row_label_full,Số đầu năm > Cổ tức được chia trong năm,13.798.040.255 > (8.008.277.474),numeric__13.798.040.255 > (8.008.277.474)
Phần lỗ từ công ty liên kết,Phần lỗ từ công ty liên kết,Phần lỗ từ công ty liên kết,(9.086.163.502),-9086163502.0
Số cuối năm,Số cuối năm,Số cuối năm,(3.296.400.721),-3296400721.0
