row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,MS,TM,Năm 2022 VND,Năm 2021 VND,numeric__CHỈ TIÊU_1,numeric__MS,numeric__TM,numeric__Năm 2022 VND,numeric__Năm 2021 VND
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,6.1,723.131.509.525,464.806.387.459,,1.0,61.0,723131509525.0,464806387459.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,,-,-,,2.0,,,
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01-02),10,,723.131.509.525,464.806.387.459,,10.0,,723131509525.0,464806387459.0
4.,4.,4.,Giá vốn hàng bán,11,6.2,510.244.828.126,397.703.350.312,,11.0,62.0,510244828126.0,397703350312.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10-11),20,,212.886.681.399,67.103.037.147,,20.0,,212886681399.0,67103037147.0
6.,6.,6.,Doanh thu hoạt động tải chính,21,6.3,232.043.335.173,411.518.347.547,,21.0,63.0,232043335173.0,411518347547.0
7.,7.,7.,Chỉ phí tài chính,22,6.4,346.837.970.098,215.995.316.022,,22.0,64.0,346837970098.0,215995316022.0
7.,7.,7.,Trong đó: Chi phí lãi vay,23,,332.137.326.168,202.118.072.171,,23.0,,332137326168.0,202118072171.0
8.,8.,8.,Chỉ phí bán hàng,25,6.5,5.117.055.479,10.763.778.019,,25.0,65.0,5117055479.0,10763778019.0
9.,9.,9.,Chỉ phí quản lý doanh nghiệp,26,6.5,60.101.567.828,63.369.087.810,,26.0,65.0,60101567828.0,63369087810.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20+(21-22)-(25+26)},30,,32.873.423.167,188.493.202.843,,30.0,,32873423167.0,188493202843.0
11.,11.,11.,Thu nhập khác,31,6.6,19.567.299.985,16.097.371.532,,31.0,66.0,19567299985.0,16097371532.0
12.,12.,12.,Chỉ phí khác,32,6.6,7.162.433.870,3.198.933.759,,32.0,66.0,7162433870.0,3198933759.0
13.,13.,13.,Lợi nhuận khác (40 = 31-32),40,6.6,12.404.866.115,12.898.437.773,,40.0,66.0,12404866115.0,12898437773.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế (50 = 30+40+45),50,,45.278.289.282,201.391.640.616,,50.0,,45278289282.0,201391640616.0
15.,15.,15.,Chỉ phí thuế TNDN hiện hành,51,6.7,39.273.201.493,48.019.120.076,,51.0,67.0,39273201493.0,48019120076.0
16.,16.,16.,Chỉ phí thuế TNDN hoãn lại,52,6.7,2.160.075.514,(2.160.075.514),,52.0,67.0,2160075514.0,-2160075514.0
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60 = 50-51-52),60,,3.845.012.275,155.532.596.054,,60.0,,3845012275.0,155532596054.0
