row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Tên viết tắt,numeric__Mối quan hệ,numeric__Tên viết tắt
Công ty cổ phần Hải Phát RetailCông ty cổ phần Dịch vụ Đô thị PSPCông ty cổ phần Khách sạn và Nghị dưỡng IWG,Công ty cổ phần Hải Phát RetailCông ty cổ phần Dịch vụ Đô thị PSPCông ty cổ phần Khách sạn và Nghị dưỡng IWG,Công ty cổ phần Hải Phát RetailCông ty cổ phần Dịch vụ Đô thị PSPCông ty cổ phần Khách sạn và Nghị dưỡng IWG,Công ty con gián tiếpCông ty con gián tiếpCông ty có chung thành viên quản lý chủ chốt,Công ty Hải Phát RetailCông ty PSPCông ty IWG,,
Công ty TNHH MTV Địa ốc Heritage Việt Nam,Công ty TNHH MTV Địa ốc Heritage Việt Nam,Công ty TNHH MTV Địa ốc Heritage Việt Nam,Công ty con,Công ty Heritage,,
Công ty TNHH Một thành viên Đầu tư và phát triển TOPAZ PM Việt Nam,Công ty TNHH Một thành viên Đầu tư và phát triển TOPAZ PM Việt Nam,Công ty TNHH Một thành viên Đầu tư và phát triển TOPAZ PM Việt Nam,Công ty con,Công ty Topaz,,
Công ty TNHH Một thành Viên DIAMOND IC,Công ty TNHH Một thành Viên DIAMOND IC,Công ty TNHH Một thành Viên DIAMOND IC,Công ty con,Công ty Diamond IC,,
Công ty TNHH HP Hospitality Nha Trang,Công ty TNHH HP Hospitality Nha Trang,Công ty TNHH HP Hospitality Nha Trang,Công ty con,Công ty HPH Nha Trang,,
Công ty TNHH MTV Đầu tư và Phát triển Địa Ốc Ruby,Công ty TNHH MTV Đầu tư và Phát triển Địa Ốc Ruby,Công ty TNHH MTV Đầu tư và Phát triển Địa Ốc Ruby,Công ty con,Công ty Ruby,,
Công ty TNHH MTV Hải Phát – Bình Thuận,Công ty TNHH MTV Hải Phát – Bình Thuận,Công ty TNHH MTV Hải Phát – Bình Thuận,Công ty con,Công ty Hải Phát Bình Thuận,,
Công ty TNHH MTV Đầu tư SapphireCông ty TNHH Mai Pha PeninsulaCông ty TNHH BT Hà Đông,Công ty TNHH MTV Đầu tư SapphireCông ty TNHH Mai Pha PeninsulaCông ty TNHH BT Hà Đông,Công ty TNHH MTV Đầu tư SapphireCông ty TNHH Mai Pha PeninsulaCông ty TNHH BT Hà Đông,Công ty conCông ty conCông ty liên danh,Công ty SapphireCông ty Mai PhaCông ty BT Hà Đông,,
Tổng Công ty Xây dựng Công trình giao thông 5 - CTCP,Tổng Công ty Xây dựng Công trình giao thông 5 - CTCP,Tổng Công ty Xây dựng Công trình giao thông 5 - CTCP,Công ty có chung thành viên quản lý chủ chốt,Công ty Cienco 5,,
Công ty cổ phần Đại Đông Á,Công ty cổ phần Đại Đông Á,Công ty cổ phần Đại Đông Á,Công ty liên quan của thành viên HĐQT,Công ty Đại Đông Á,,
Công ty cổ phần Đầu tư Hải Phát Thủ Đô,Công ty cổ phần Đầu tư Hải Phát Thủ Đô,Công ty cổ phần Đầu tư Hải Phát Thủ Đô,Công ty cùng thành viên HĐQT,Công ty Hải Phát Thủ Đô,,
Công ty cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty thuộc sở hữu của thành viên quản lý chủ chốt,Công ty Phúc Thành,,
Công ty cổ phần Đầu tư và Kinh doanh Bất động sản Hải Phát,Công ty cổ phần Đầu tư và Kinh doanh Bất động sản Hải Phát,Công ty cổ phần Đầu tư và Kinh doanh Bất động sản Hải Phát,Công ty có chung thành viên quản lý chủ chốt,Công ty Hải Phát Land,,
Công ty Cổ phần kinh doanh Địa Ốc Hải Phát,Công ty Cổ phần kinh doanh Địa Ốc Hải Phát,Công ty Cổ phần kinh doanh Địa Ốc Hải Phát,Công ty có chung thành viên quản lý chủ chốt,Công ty Địa Ốc Hải Phát,,
Công ty Cổ phần dịch vụ An ninh ANTV,Công ty Cổ phần dịch vụ An ninh ANTV,Công ty Cổ phần dịch vụ An ninh ANTV,Công ty có cùng thành viên quản lý chủ chốt của Công ty con,Công ty ANTV,,
"Các thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ủy ban Kiểm toán, và các cá nhân có liên quan đến các thành viên quản lý chủ chốt","Các thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ủy ban Kiểm toán, và các cá nhân có liên quan đến các thành viên quản lý chủ chốt","Các thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ủy ban Kiểm toán, và các cá nhân có liên quan đến các thành viên quản lý chủ chốt",Ảnh hưởng đáng kể,,,
