row_label_raw,row_label_full,col_0,31/12/2022 (VND) > Giá trị,31/12/2022 (VND) > Số có khả năng trả nợ,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,01/01/2022 (VND) > Giá trị,01/01/2022 (VND) > Số có khả năng trả nợ,numeric__31/12/2022 (VND) > Giá trị,numeric__31/12/2022 (VND) > Số có khả năng trả nợ,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__01/01/2022 (VND) > Giá trị,numeric__01/01/2022 (VND) > Số có khả năng trả nợ
Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,172.476.208.301,172.476.208.301,211.792.171.686,360.733.789.037,321.417.825.652,321.417.825.652,172476208301.0,172476208301.0,211792171686.0,360733789037.0,321417825652.0,321417825652.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,8.641.248.000,8.641.248.000,36.055.343.772,339.547.801.200,312.133.705.428,312.133.705.428,8641248000.0,8641248000.0,36055343772.0,339547801200.0,312133705428.0,312133705428.0
Ngân hàng Bảo Việt - Hội Sở Chính,Ngân hàng Bảo Việt - Hội Sở Chính,Ngân hàng Bảo Việt - Hội Sở Chính,-,-,17.011.091.772,316.955.829.200,299.944.737.428,299.944.737.428,,,17011091772.0,316955829200.0,299944737428.0,299944737428.0
Ngân hàng Nông Nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh Hà Nội I,Ngân hàng Nông Nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh Hà Nội I,Ngân hàng Nông Nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh Hà Nội I,-,-,-,3.294.713.000,3.294.713.000,3.294.713.000,,,,3294713000.0,3294713000.0,3294713000.0
Ngân Hàng Thương mại Cổ phần Quân Đội - Chi nhánh Sở Giao Dịch 3,Ngân Hàng Thương mại Cổ phần Quân Đội - Chi nhánh Sở Giao Dịch 3,Ngân Hàng Thương mại Cổ phần Quân Đội - Chi nhánh Sở Giao Dịch 3,-,-,1.645.752.000,10.540.007.000,8.894.255.000,8.894.255.000,,,1645752000.0,10540007000.0,8894255000.0,8894255000.0
Ngân Hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Đô Thành (1.2),Ngân Hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Đô Thành (1.2),Ngân Hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Đô Thành (1.2),8.641.248.000,8.641.248.000,17.398.500.000,8.757.252.000,-,-,8641248000.0,8641248000.0,17398500000.0,8757252000.0,,
Vay dài hạn ngân hàng đến hạn trả,Vay dài hạn ngân hàng đến hạn trả,Vay dài hạn ngân hàng đến hạn trả,163.834.960.301,163.834.960.301,175.736.827.914,21.185.987.837,9.284.120.224,9.284.120.224,163834960301.0,163834960301.0,175736827914.0,21185987837.0,9284120224.0,9284120224.0
Ngân hàng Nông Nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh Hà Nội I (1.3),Ngân hàng Nông Nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh Hà Nội I (1.3),Ngân hàng Nông Nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh Hà Nội I (1.3),49.214.072.275,49.214.072.275,57.478.279.540,14.763.091.422,6.498.884.157,6.498.884.157,49214072275.0,49214072275.0,57478279540.0,14763091422.0,6498884157.0,6498884157.0
Ngân hàng Nông Nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh Cao Bằng (1.3),Ngân hàng Nông Nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh Cao Bằng (1.3),Ngân hàng Nông Nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh Cao Bằng (1.3),20.995.888.026,20.995.888.026,24.633.548.374,6.422.896.415,2.785.236.067,2.785.236.067,20995888026.0,20995888026.0,24633548374.0,6422896415.0,2785236067.0,2785236067.0
Ngân Hàng Thương mại cổ phần Phát Triển Thành phố Hồ Chí Minh (Hdbank) - Chi nhánh Hoàn Kiểm (1.1),Ngân Hàng Thương mại cổ phần Phát Triển Thành phố Hồ Chí Minh (Hdbank) - Chi nhánh Hoàn Kiểm (1.1),Ngân Hàng Thương mại cổ phần Phát Triển Thành phố Hồ Chí Minh (Hdbank) - Chi nhánh Hoàn Kiểm (1.1),93.625.000.000,93.625.000.000,93.625.000.000,-,-,-,93625000000.0,93625000000.0,93625000000.0,,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,372.526.951.801,372.526.951.801,421.690.480.432,188.425.331.946,139.261.803.315,139.261.803.315,372526951801.0,372526951801.0,421690480432.0,188425331946.0,139261803315.0,139261803315.0
