row_label_raw,row_label_full,Chi phí thuế TNDN năm hiện hành,Năm 2022VND > 39.273.201.493,Năm 2021VND > 48.019.120.076,numeric__Năm 2022VND > 39.273.201.493,numeric__Năm 2021VND > 48.019.120.076
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,2.160.075.514,(2.160.075.514),2160075514.0,-2160075514.0
Tổng,Tổng,Tổng,41.433.277.007,45.859.044.562,41433277007.0,45859044562.0
