row_label_raw,row_label_full,col_0,31/12/2022 > Giá trị,31/12/2022 > Số có khả năngtrả nợ,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,01/01/2022 > Giá trị,01/01/2022 > Số có khả năngtrả nợ,numeric__31/12/2022 > Giá trị,numeric__31/12/2022 > Số có khả năngtrả nợ,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__01/01/2022 > Giá trị,numeric__01/01/2022 > Số có khả năngtrả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.264.891.682.911,1.264.891.682.911,2.646.611.236.487,3.713.960.564.995,2.332.241.011.419,2.332.241.011.419,1264891682911.0,1264891682911.0,2646611236487.0,3713960564995.0,2332241011419.0,2332241011419.0
Vay ngân hàng (1),Vay ngân hàng (1),Vay ngân hàng (1),172.476.208.301,172.476.208.301,211.792.171.686,360.733.789.037,321.417.825.652,321.417.825.652,172476208301.0,172476208301.0,211792171686.0,360733789037.0,321417825652.0,321417825652.0
Vay ngân hàng ngắn hạn,Vay ngân hàng ngắn hạn,Vay ngân hàng ngắn hạn,8.641.248.000,8.641.248.000,36.055.343.772,339.547.801.200,312.133.705.428,312.133.705.428,8641248000.0,8641248000.0,36055343772.0,339547801200.0,312133705428.0,312133705428.0
Vay dài hạn ngân hàng đến hạn trả,Vay dài hạn ngân hàng đến hạn trả,Vay dài hạn ngân hàng đến hạn trả,163.834.960.301,163.834.960.301,175.736.827.914,21.185.987.837,9.284.120.224,9.284.120.224,163834960301.0,163834960301.0,175736827914.0,21185987837.0,9284120224.0,9284120224.0
Trái phiếu ngắn hạn (2),Trái phiếu ngắn hạn (2),Trái phiếu ngắn hạn (2),769.335.294.117,769.335.294.117,1.097.888.052.687,879.671.758.570,551.119.000.000,551.119.000.000,769335294117.0,769335294117.0,1097888052687.0,879671758570.0,551119000000.0,551119000000.0
Trái phiếu dài hạn đến hạn trả (2),Trái phiếu dài hạn đến hạn trả (2),Trái phiếu dài hạn đến hạn trả (2),254.841.180.493,254.841.180.493,1.125.192.012.114,2.107.605.017.388,1.237.254.185.767,1.237.254.185.767,254841180493.0,254841180493.0,1125192012114.0,2107605017388.0,1237254185767.0,1237254185767.0
Tổng công ty Cổ phần Xuất nhập khẩu vàXây dựng Việt Nam (3),Tổng công ty Cổ phần Xuất nhập khẩu vàXây dựng Việt Nam (3),Tổng công ty Cổ phần Xuất nhập khẩu vàXây dựng Việt Nam (3),50.000.000.000,50.000.000.000,190.000.000.000,140.000.000.000,-,-,50000000000.0,50000000000.0,190000000000.0,140000000000.0,,
Vay cá nhân (4),Vay cá nhân (4),Vay cá nhân (4),18.239.000.000,18.239.000.000,21.739.000.000,225.950.000.000,222.450.000.000,222.450.000.000,18239000000.0,18239000000.0,21739000000.0,225950000000.0,222450000000.0,222450000000.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,1.895.065.210.840,1.895.065.210.840,1.226.003.395.896,1.542.387.165.051,2.211.448.979.995,2.211.448.979.995,1895065210840.0,1895065210840.0,1226003395896.0,1542387165051.0,2211448979995.0,2211448979995.0
Vay ngân hàng (1),Vay ngân hàng (1),Vay ngân hàng (1),372.526.951.801,372.526.951.801,421.690.480.432,188.425.331.946,139.261.803.315,139.261.803.315,372526951801.0,372526951801.0,421690480432.0,188425331946.0,139261803315.0,139261803315.0
Trái phiếu (2),Trái phiếu (2),Trái phiếu (2),1.522.538.259.039,1.522.538.259.039,804.312.915.464,1.353.961.833.105,2.072.187.176.680,2.072.187.176.680,1522538259039.0,1522538259039.0,804312915464.0,1353961833105.0,2072187176680.0,2072187176680.0
Tổng,Tổng,Tổng,3.159.956.893.751,3.159.956.893.751,3.872.614.632.383,5.256.347.730.046,4.543.689.991.414,4.543.689.991.414,3159956893751.0,3159956893751.0,3872614632383.0,5256347730046.0,4543689991414.0,4543689991414.0
Trong đó: Vay ngắn hạn các bên liên quan(Chỉ tiết trình bày tại Thuyết minh số 7.2),Trong đó: Vay ngắn hạn các bên liên quan(Chỉ tiết trình bày tại Thuyết minh số 7.2),Trong đó: Vay ngắn hạn các bên liên quan(Chỉ tiết trình bày tại Thuyết minh số 7.2),-,-,,,20.000.000.000,20.000.000.000,,,,,20000000000.0,20000000000.0
