row_label_raw,row_label_full,Bên liên quan,Bên liên quan_1,Năm 2022VND,Năm 2021VND,numeric__Bên liên quan_1,numeric__Năm 2022VND,numeric__Năm 2021VND
"Hội đồng Quản trị, Ban Tổng Giám đốc, Ủy ban Kiểm toán và người quản lý khác","Hội đồng Quản trị, Ban Tổng Giám đốc, Ủy ban Kiểm toán và người quản lý khác","Hội đồng Quản trị, Ban Tổng Giám đốc, Ủy ban Kiểm toán và người quản lý khác","Hội đồng Quản trị, Ban Tổng Giám đốc, Ủy ban Kiểm toán và người quản lý khác",4.824.708.658,14.057.628.888,,4824708658.0,14057628888.0
Tổng,Tổng,Tổng,Tổng,4.824.708.658,14.057.628.888,,4824708658.0,14057628888.0
Chi tiết như sau:,Chi tiết như sau:,Chi tiết như sau:,Chi tiết như sau:,,,,,
Họ và tên,Họ và tên,Họ và tên,Chức danh,Năm 2022VND,Năm 2021VND,,,
Đỗ Quý Hải,Họ và tên > Đỗ Quý Hải,Đỗ Quý Hải,Chủ tịch HDQT,-,2.485.080.000,,,2485080000.0
Nguyễn Văn Phương,Họ và tên > Nguyễn Văn Phương,Nguyễn Văn Phương,Phó Chủ tịch HDQT,-,617.580.000,,,617580000.0
Nguyễn Văn Phương,Họ và tên > Nguyễn Văn Phương,Nguyễn Văn Phương,Thành viên HDQT kiểm Chủ tịch Ủy ban chiến lược,-,1.374.400.000,,,1374400000.0
Phạm Minh Tuấn,Họ và tên > Phạm Minh Tuấn,Phạm Minh Tuấn,Lê Việt Dũng,-,866.580.000,,,866580000.0
Đỗ Danh Trí,Họ và tên > Đỗ Danh Trí,Đỗ Danh Trí,Thành viên HDQT độc lập,-,317.100.000,,,317100000.0
Đỗ Danh Trí,Họ và tên > Đỗ Danh Trí,Đỗ Danh Trí,Thành viên HDQT độc lập kiểm Chủ tịch Ủy ban kiểm toán,-,504.380.000,,,504380000.0
Trần Vũ Thái Hoà,Họ và tên > Trần Vũ Thái Hoà,Trần Vũ Thái Hoà,Đoàn Hoà Thuận,Tổng Giám đốc,234.168.000,,,234168000.0
Đinh Thế Quỳnh,Họ và tên > Đinh Thế Quỳnh,Đinh Thế Quỳnh,Phó TGD,1.053.560.625,1.177.470.000,,1053560625.0,1177470000.0
Đỗ Quý Thành,Họ và tên > Đỗ Quý Thành,Đỗ Quý Thành,Phó TGD,798.316.438,908.561.191,,798316438.0,908561191.0
Phạm Huy Thông,Họ và tên > Phạm Huy Thông,Phạm Huy Thông,Phó TGD,1.183.800.000,1.343.330.000,,1183800000.0,1343330000.0
Ngô Quốc Huân,Họ và tên > Ngô Quốc Huân,Ngô Quốc Huân,Phó TGD,793.800.458,900.741.770,,793800458.0,900741770.0
Nguyễn Trọng Thiết,Họ và tên > Nguyễn Trọng Thiết,Nguyễn Trọng Thiết,Phó TGD,761.063.137,912.334.751,,761063137.0,912334751.0
Tổng,Họ và tên > Tổng,Tổng,Tổng,4.824.708.658,14.057.628.888,,4824708658.0,14057628888.0
