row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Lợi nhuận sau thuế chưa phân phối,Tổng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng
Số dư tại 01/01/2021,Số dư tại 01/01/2021,Số dư tại 01/01/2021,2.644.945.820.000,60.986.800.000,446.749.186.333,3.152.681.806.333,2644945820000.0,60986800000.0,446749186333.0,3152681806333.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,155.532.596.054,155.532.596.054,,,155532596054.0,155532596054.0
Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,396.739.990.000,-,(396.739.990.000),-,396739990000.0,,-396739990000.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,(22.337.459.317),(22.337.459.317),,,-22337459317.0,-22337459317.0
"Thù lao HĐQT, các Ủy ban trực thuộc HĐQT","Thù lao HĐQT, các Ủy ban trực thuộc HĐQT","Thù lao HĐQT, các Ủy ban trực thuộc HĐQT",-,-,(6.165.120.000),(6.165.120.000),,,-6165120000.0,-6165120000.0
Số dư tại 31/12/2021,Số dư tại 31/12/2021,Số dư tại 31/12/2021,3.041.685.810.000,60.986.800.000,177.039.213.070,3.279.711.823.070,3041685810000.0,60986800000.0,177039213070.0,3279711823070.0
Số dư tại 01/01/2022,Số dư tại 01/01/2022,Số dư tại 01/01/2022,3.041.685.810.000,60.986.800.000,177.039.213.070,3.279.711.823.070,3041685810000.0,60986800000.0,177039213070.0,3279711823070.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,3.845.012.275,3.845.012.275,,,3845012275.0,3845012275.0
Trích quỹ khen thưởng phúc lợi (1),Trích quỹ khen thưởng phúc lợi (1),Trích quỹ khen thưởng phúc lợi (1),-,-,(7.776.629.803),(7.776.629.803),,,-7776629803.0,-7776629803.0
Số dư tại 31/12/2022,Số dư tại 31/12/2022,Số dư tại 31/12/2022,3.041.685.810.000,60.986.800.000,173.107.595.542,3.275.780.205.542,3041685810000.0,60986800000.0,173107595542.0,3275780205542.0
