row_label_raw,row_label_full,Tên,31.12.2025,31.12.2025_1,31.12.2024,31.12.2024_1,numeric__31.12.2025,numeric__31.12.2025_1,numeric__31.12.2024,numeric__31.12.2024_1
Tên,Tên,Tên,Giá gốcTriệu đồng,Tỷ lệsở hữu,Giá gốcTriệu đồng,Tỷ lệsở hữu,,,,
Công ty Cổ phần Xăng dầu Dầu khí Sài Gòn,Tên > Công ty Cổ phần Xăng dầu Dầu khí Sài Gòn,Công ty Cổ phần Xăng dầu Dầu khí Sài Gòn,22.470,"6,44%",10.000,"5,00%",22470.0,0.0644,10000.0,0.05
Công ty Cổ phần Sản xuất và Chế biến Dầu khí Phú Mỹ,Tên > Công ty Cổ phần Sản xuất và Chế biến Dầu khí Phú Mỹ,Công ty Cổ phần Sản xuất và Chế biến Dầu khí Phú Mỹ,11.000,"2,20%",11.000,"2,20%",11000.0,0.022000000000000002,11000.0,0.022000000000000002
Công ty Cổ phần Xăng dầu Dầu khí Vũng Tàu,Tên > Công ty Cổ phần Xăng dầu Dầu khí Vũng Tàu,Công ty Cổ phần Xăng dầu Dầu khí Vũng Tàu,10.000,"8,33%",10.000,"8,33%",10000.0,0.0833,10000.0,0.0833
Công ty Cổ phần Xăng dầu Dầu khí Hà Nội,Tên > Công ty Cổ phần Xăng dầu Dầu khí Hà Nội,Công ty Cổ phần Xăng dầu Dầu khí Hà Nội,7.500,"2,83%",7.500,"2,83%",7500.0,0.028300000000000002,7500.0,0.028300000000000002
Công ty Cổ phần Thanh toán Quốc gia Việt Nam,Tên > Công ty Cổ phần Thanh toán Quốc gia Việt Nam,Công ty Cổ phần Thanh toán Quốc gia Việt Nam,3.300,"1,06%",3.300,"1,06%",3300.0,0.0106,3300.0,0.0106
Công ty Cổ phần Xăng dầu Dầu khí Miền Trung,Tên > Công ty Cổ phần Xăng dầu Dầu khí Miền Trung,Công ty Cổ phần Xăng dầu Dầu khí Miền Trung,4.800,"1,59%",4.800,"1,59%",4800.0,0.0159,4800.0,0.0159
Công ty Cổ phần Xăng dầu Dầu khí Tây Ninh,Tên > Công ty Cổ phần Xăng dầu Dầu khí Tây Ninh,Công ty Cổ phần Xăng dầu Dầu khí Tây Ninh,-,-,12.470,"9,59%",,,12470.0,0.0959
Công ty Cổ phần Dịch vụ Số liệu Toàn Cầu,Tên > Công ty Cổ phần Dịch vụ Số liệu Toàn Cầu,Công ty Cổ phần Dịch vụ Số liệu Toàn Cầu,-,-,2.670,"2,13%",,,2670.0,0.0213
Công ty Cổ phần Phát triển Nhân trí Việt Nam,Tên > Công ty Cổ phần Phát triển Nhân trí Việt Nam,Công ty Cổ phần Phát triển Nhân trí Việt Nam,-,-,437,"9,99%",,,437.0,0.0999
Công ty Cổ phần Tư vấn Đầu tư và Xây dựng Bưu điện,Tên > Công ty Cổ phần Tư vấn Đầu tư và Xây dựng Bưu điện,Công ty Cổ phần Tư vấn Đầu tư và Xây dựng Bưu điện,-,-,255,"0,46%",,,255.0,0.0046
,,,59.070,,62.432,,59070.0,,62432.0,
