row_label_raw,row_label_full,Chi tiêu,Tại ngày1.1.2025Triệu đồng,Phát sinh trong năm > Số phải nộpTriệu đồng,Phát sinh trong năm > Số đã nộpTriệu đồng,Phát sinh trong năm > Giảm do báncông ty conTriệu đồng,Tại ngày31.12.2025Triệu đồng,numeric__Tại ngày1.1.2025Triệu đồng,numeric__Phát sinh trong năm > Số phải nộpTriệu đồng,numeric__Phát sinh trong năm > Số đã nộpTriệu đồng,numeric__Phát sinh trong năm > Giảm do báncông ty conTriệu đồng,numeric__Tại ngày31.12.2025Triệu đồng
Thuế TNDN,Thuế TNDN,Thuế TNDN,812.283,1.358.850,(1.331.130),(14.212),825.791,812283.0,1358850.0,-1331130.0,-14212.0,825791.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,13.270,213.600,(211.119),(1.685),14.066,13270.0,213600.0,-211119.0,-1685.0,14066.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,30.849,104.094,(124.423),(36),10.484,30849.0,104094.0,-124423.0,-36.0,10484.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,88.761,(88.761),-,-,,88761.0,-88761.0,,
,,,856.402,1.765.305,(1.755.433),(15.933),850.341,856402.0,1765305.0,-1755433.0,-15933.0,850341.0
