row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Quá hạn,Không chịu lãi,Dưới 1 tháng,Từ 1 - 3 tháng,Từ 3 - 6 tháng,Từ 6 - 12 tháng,Từ 1 - 5 năm,Trên 5 năm,Tổng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Dưới 1 tháng,numeric__Từ 1 - 3 tháng,numeric__Từ 3 - 6 tháng,numeric__Từ 6 - 12 tháng,numeric__Từ 1 - 5 năm,numeric__Trên 5 năm,numeric__Tổng
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tải sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,963.723,-,-,-,-,-,-,963.723,,963723.0,,,,,,,963723.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,11.299.668,-,-,-,-,-,-,11.299.668,,11299668.0,,,,,,,11299668.0
Tiền gửi và cho vay các TCTD khác,Tải sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,60.881.443,7.362.520,-,2.000.000,-,-,70.243.963,,,60881443.0,7362520.0,,2000000.0,,,70243963.0
Chứng khoán kinh doanh (*),Tải sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,8.868.966,-,-,-,-,-,8.868.966,,,8868966.0,,,,,,8868966.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),5.318.268,1.977.205,71.025.597,56.742.332,50.609.714,18.753.044,4.512.203,416.280,209.354.643,5318268.0,1977205.0,71025597.0,56742332.0,50609714.0,18753044.0,4512203.0,416280.0,209354643.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),350.458,82.054,2.000.000,525.795,300.199,100.000,2.677.530,13.946.877,19.982.913,350458.0,82054.0,2000000.0,525795.0,300199.0,100000.0,2677530.0,13946877.0,19982913.0
"Góp vốn, đầu tư dài hạn (*)","Tải sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,62.432,-,-,-,-,-,-,62.432,,62432.0,,,,,,,62432.0
TSCĐ và bắt đông sản đầu tư,Tải sản > TSCĐ và bắt đông sản đầu tư,TSCĐ và bắt đông sản đầu tư,-,1.421.040,-,-,-,-,-,-,1.421.040,,1421040.0,,,,,,,1421040.0
Tải sản Có khác (*),Tải sản > Tải sản Có khác (*),Tải sản Có khác (*),29.277,7.136.004,-,-,-,-,-,-,7.165.281,29277.0,7136004.0,,,,,,,7165281.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,5.698.003,22.942.126,142.776.006,64.630.647,50.909.913,20.853.044,7.189.733,14.363.157,329.362.629,5698003.0,22942126.0,142776006.0,64630647.0,50909913.0,20853044.0,7189733.0,14363157.0,329362629.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,1.977.205,-,2.113,68.086,17.079,-,-,2.064.483,,1977205.0,,2113.0,68086.0,17079.0,,,2064483.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,58.737.674,16.311.838,4.243.725,6.010.414,-,-,85.303.651,,,58737674.0,16311838.0,4243725.0,6010414.0,,,85303651.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,31.875.147,40.965.795,46.917.333,41.215.828,7.345.514,547,168.320.164,,,31875147.0,40965795.0,46917333.0,41215828.0,7345514.0,547.0,168320164.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,128.378,314,1.688,-,-,173.194,-,303.574,,128378.0,314.0,1688.0,,,173194.0,,303574.0
"Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,1.020,-,-,-,-,-,-,1.020,,1020.0,,,,,,,1020.0
Phát hành giấy tờ có giả,Nợ phải trả > Phát hành giấy tờ có giả,Phát hành giấy tờ có giả,-,-,500.000,-,94.200,25.906.000,3.950.000,-,30.450.200,,,500000.0,,94200.0,25906000.0,3950000.0,,30450200.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,4.252.901,-,-,-,-,-,-,4.252.901,,4252901.0,,,,,,,4252901.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,6.359.504,91.113.135,57.281.434,51.323.344,73.149.321,11.468.708,547,290.695.993,,6359504.0,91113135.0,57281434.0,51323344.0,73149321.0,11468708.0,547.0,290695993.0
Mức chênh lệch nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh lệch nhạy cảm với lãi suất nội bảng,Mức chênh lệch nhạy cảm với lãi suất nội bảng,5.698.003,16.582.622,51.662.871,7.349.213,(413.431),(52.296.277),(4.278.975),14.362.610,38.666.636,5698003.0,16582622.0,51662871.0,7349213.0,-413431.0,-52296277.0,-4278975.0,14362610.0,38666636.0
