row_label_raw,row_label_full,VND,EUR,USD,Khác,Tổng cộng,numeric__EUR,numeric__USD,numeric__Khác,numeric__Tổng cộng
819.034,819.034,819.034,25.754,103.804,15.131,963.723,25754.0,103804.0,15131.0,963723.0
10.922.509,10.922.509,10.922.509,-,377.159,-,11.299.668,,377159.0,,11299668.0
50.312.570,50.312.570,50.312.570,17.516,19.767.638,146.239,70.243.963,17516.0,19767638.0,146239.0,70243963.0
8.868.966,8.868.966,8.868.966,-,-,-,8.868.966,,,,8868966.0
203.812.898,203.812.898,203.812.898,-,5.541.745,-,209.354.643,,5541745.0,,209354643.0
19.982.913,19.982.913,19.982.913,-,-,-,19.982.913,,,,19982913.0
62.432,62.432,62.432,-,-,-,62.432,,,,62432.0
1.421.040,1.421.040,1.421.040,-,-,-,1.421.040,,,,1421040.0
7.089.219,7.089.219,7.089.219,400,75.662,-,7.165.281,400.0,75662.0,,7165281.0
303.291.581,303.291.581,303.291.581,43.670,25.866.008,161.370,329.362.629,43670.0,25866008.0,161370.0,329362629.0
2.064.483,2.064.483,2.064.483,-,-,-,2.064.483,,,,2064483.0
64.395.066,64.395.066,64.395.066,-,20.908.585,-,85.303.651,,20908585.0,,85303651.0
166.559.433,166.559.433,166.559.433,39.791,1.618.827,102.113,168.320.164,39791.0,1618827.0,102113.0,168320164.0
(1.927.762),(1.927.762),(1.927.762),-,2.199.608,31.728,303.574,,2199608.0,31728.0,303574.0
1.020,1.020,1.020,-,-,-,1.020,,,,1020.0
30.450.200,30.450.200,30.450.200,-,-,-,30.450.200,,,,30450200.0
3.858.894,3.858.894,3.858.894,112,393.889,6,4.252.901,112.0,393889.0,6.0,4252901.0
35.002.855,35.002.855,35.002.855,-,-,-,35.002.855,,,,35002855.0
300.404.189,300.404.189,300.404.189,39.903,25.120.909,133.847,325.698.848,39903.0,25120909.0,133847.0,325698848.0
2.887.392,2.887.392,2.887.392,3.767,745.099,27.523,3.663.781,3767.0,745099.0,27523.0,3663781.0
-,-,-,-,(508.020),-,(508.020),,-508020.0,,-508020.0
2.887.392,2.887.392,2.887.392,3.767,237.079,27.523,3.155.761,3767.0,237079.0,27523.0,3155761.0
