row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,31.12.2025Triệu đồng,31.12.2024Triệu đồng,,
Thuế và các loại phí,Thuế và các loại phí,Thuế và các loại phí,36.480,108.046,36480.0,108046.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,2.699.925,2.113.460,2699925.0,2113460.0
- Chi lương và phụ cấp,- Chi lương và phụ cấp,- Chi lương và phụ cấp,2.033.360,1.954.954,2033360.0,1954954.0
- Các khoản chi đóng góp theo lương,- Các khoản chi đóng góp theo lương,- Các khoản chi đóng góp theo lương,128.636,120.948,128636.0,120948.0
- Chi trợ cấp,- Chi trợ cấp,- Chi trợ cấp,163,379,163.0,379.0
- Chi khác,- Chi khác,- Chi khác,537.766,37.179,537766.0,37179.0
Chi phí về tài sản,Chi phí về tài sản,Chi phí về tài sản,847.813,774.028,847813.0,774028.0
- Chi phí thuê tài sản,- Chi phí thuê tài sản,- Chi phí thuê tài sản,340.086,333.616,340086.0,333616.0
- Chi phí bảo dưỡng và sửa chữa tài sản,- Chi phí bảo dưỡng và sửa chữa tài sản,- Chi phí bảo dưỡng và sửa chữa tài sản,297.796,255.656,297796.0,255656.0
- Chi phí khấu hao TSCĐ,- Chi phí khấu hao TSCĐ,- Chi phí khấu hao TSCĐ,180.760,140.309,180760.0,140309.0
- Chi khác,- Chi khác,- Chi khác,29.171,44.447,29171.0,44447.0
Chi phí cho hoạt động quản lý công vụ,Chi phí cho hoạt động quản lý công vụ,Chi phí cho hoạt động quản lý công vụ,625.357,705.592,625357.0,705592.0
"- Chi phí hội nghị, lễ tân và khách tiết","- Chi phí hội nghị, lễ tân và khách tiết","- Chi phí hội nghị, lễ tân và khách tiết",250.780,196.495,250780.0,196495.0
- Chi phí dịch vụ chuyên nghiệp,- Chi phí dịch vụ chuyên nghiệp,- Chi phí dịch vụ chuyên nghiệp,95.700,122.384,95700.0,122384.0
- Công tác phí,- Công tác phí,- Công tác phí,40.091,42.927,40091.0,42927.0
- Chi bưu phí và điện thoại,- Chi bưu phí và điện thoại,- Chi bưu phí và điện thoại,37.888,40.318,37888.0,40318.0
- Chi khác cho hoạt động quản lý,- Chi khác cho hoạt động quản lý,- Chi khác cho hoạt động quản lý,200.898,303.468,200898.0,303468.0
"Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng",142.988,135.804,142988.0,135804.0
Phân bổ lợi thế thương mại,Phân bổ lợi thế thương mại,Phân bổ lợi thế thương mại,5.934,71.206,5934.0,71206.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,300.956,222.082,300956.0,222082.0
,,,4.659.453,4.130.218,4659453.0,4130218.0
