row_label_raw,row_label_full,col_0,Công ty Tài chính TNHH MTV Bưu Điện Triệu đồng,numeric__Công ty Tài chính TNHH MTV Bưu Điện Triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Tại ngày 1 tháng 1 năm 2025,Nguyên giá > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,712.055,712055.0
Giảm do bán công ty con,Nguyên giá > Giảm do bán công ty con,Giảm do bán công ty con,(712.055),-712055.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,-,
Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,
Tại ngày 1 tháng 1 năm 2025,Giá trị phân bổ lũy kế > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,(445.034),-445034.0
Phân bổ trong năm,Giá trị phân bổ lũy kế > Phân bổ trong năm,Phân bổ trong năm,(5.934),-5934.0
Giảm do bán công ty con,Giá trị phân bổ lũy kế > Giảm do bán công ty con,Giảm do bán công ty con,450.968,450968.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,-,
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Tại ngày 1 tháng 1 năm 2025,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,267.021,267021.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,-,
