row_label_raw,row_label_full,col_0,Tại ngày 31.12.2025,Tại ngày 31.12.2025_1,Tại ngày 31.12.2025_2,Tại ngày 31.12.2025_3,Tại ngày 31.12.2025_4,Đơn vị: Triệu đồng,numeric__Tại ngày 31.12.2025,numeric__Tại ngày 31.12.2025_1,numeric__Tại ngày 31.12.2025_2,numeric__Tại ngày 31.12.2025_3,numeric__Tại ngày 31.12.2025_4,numeric__Đơn vị: Triệu đồng
,,,Tiền gửi và cho vay các TCTD khác,Chứng khoán kinh doanh,Cho vay khách hàng,Chứng khoán đầu tư,Các tài sản tài chính khác,Tổng cộng,,,,,,
Chưa quá hạn và chưa bị giảm giá,Chưa quá hạn và chưa bị giảm giá,Chưa quá hạn và chưa bị giảm giá,91.446.961,3.731.450,230.528.257,9.613.092,4.278.428,339.598.188,91446961.0,3731450.0,230528257.0,9613092.0,4278428.0,339598188.0
Đã quá hạn nhưng chưa bị giảm giá,Đã quá hạn nhưng chưa bị giảm giá,Đã quá hạn nhưng chưa bị giảm giá,-,-,473.679,-,-,473.679,,,473679.0,,,473679.0
Bị giảm giá,Bị giảm giá,Bị giảm giá,-,-,6.045.164,50.458,29.253,6.124.875,,,6045164.0,50458.0,29253.0,6124875.0
,,,91.446.961,3.731.450,237.047.100,9.663.550,4.307.681,346.196.742,91446961.0,3731450.0,237047100.0,9663550.0,4307681.0,346196742.0
Trừ dự phòng rủi ro:,Trừ dự phòng rủi ro:,Trừ dự phòng rủi ro:,,,,,,,,,,,,
Dự phòng chung,Trừ dự phòng rủi ro: > Dự phòng chung,Dự phòng chung,-,(12.640),(1.750.156),(63.129),-,(1.825.925),,-12640.0,-1750156.0,-63129.0,,-1825925.0
Dự phòng cụ thể,Trừ dự phòng rủi ro: > Dự phòng cụ thể,Dự phòng cụ thể,-,-,(1.516.534),(50.458),-,(1.566.992),,,-1516534.0,-50458.0,,-1566992.0
Dự phòng rủi ro khác,Trừ dự phòng rủi ro: > Dự phòng rủi ro khác,Dự phòng rủi ro khác,-,-,-,-,(29.253),(29.253),,,,,-29253.0,-29253.0
,,,-,(12.640),(3.266.690),(113.587),(29.253),(3.422.170),,-12640.0,-3266690.0,-113587.0,-29253.0,-3422170.0
Giá trị thuần,Trừ dự phòng rủi ro: > Giá trị thuần,Giá trị thuần,91.446.961,3.718.810,233.780.410,9.549.963,4.278.428,342.774.572,91446961.0,3718810.0,233780410.0,9549963.0,4278428.0,342774572.0
