row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2025Triệu đồng,Tại ngày > 31.12.2024Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2025Triệu đồng,numeric__Tại ngày > 31.12.2024Triệu đồng
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",3,1.040.608,963.723,,3.0,1040608.0,963723.0
II,A > II,II,"Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")",4,24.472.475,11.299.668,,4.0,24472475.0,11299668.0
III,A > III,III,"Tiền gửi và cho vay các tổ chức tín dụng (""TCTD"") khác",,91.446.961,70.243.963,,,91446961.0,70243963.0
1,A > 1,1,Tiền gửi tại các TCTD khác,5.1,91.266.961,67.919.703,,51.0,91266961.0,67919703.0
2,A > 2,2,Cho vay các TCTD khác,5.2,180.000,2.324.260,,52.0,180000.0,2324260.0
IV,A > IV,IV,Chứng khoán kinh doanh,,11.444.995,8.866.716,,,11444995.0,8866716.0
1,A > 1,1,Chứng khoán kinh doanh,6.1,11.457.635,8.868.966,,61.0,11457635.0,8868966.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,6.5,(12.640),(2.250),,65.0,-12640.0,-2250.0
VI,A > VI,VI,Cho vay khách hàng,7,233.780.410,206.073.210,,7.0,233780410.0,206073210.0
1,A > 1,1,Cho vay khách hàng,,237.047.100,209.354.643,,,237047100.0,209354643.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,,(3.266.690),(3.281.433),,,-3266690.0,-3281433.0
VII,A > VII,VII,Chứng khoán đầu tư,,25.442.298,19.632.455,,,25442298.0,19632455.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,8.1,25.505.427,17.555.894,,81.0,25505427.0,17555894.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,8.2,50.458,2.427.019,,82.0,50458.0,2427019.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,8.6,(113.587),(350.458),,86.0,-113587.0,-350458.0
VIII,A > VIII,VIII,"Góp vốn, đầu tư dài hạn",9,59.070,62.069,,9.0,59070.0,62069.0
4,A > 4,4,Đầu tư dài hạn khác,,59.070,62.432,,,59070.0,62432.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,-,(363),,,,-363.0
IX,A > IX,IX,Tài sản cố định,,1.489.344,1.367.030,,,1489344.0,1367030.0
1,A > 1,1,Tài sản cố định hữu hình,10.1,512.464,488.465,,101.0,512464.0,488465.0
a,A > a,a,Nguyên giá,,1.193.919,1.091.952,,,1193919.0,1091952.0
b,A > b,b,Giá trị khấu hao lũy kế,,(681.455),(603.487),,,-681455.0,-603487.0
3,A > 3,3,Tài sản cố định vô hình,10.2,976.880,878.565,,102.0,976880.0,878565.0
a,A > a,a,Nguyên giá,,1.337.853,1.163.201,,,1337853.0,1163201.0
b,A > b,b,Giá trị khấu hao lũy kế,,(360.973),(284.636),,,-360973.0,-284636.0
X,A > X,X,Bất động sản đầu tư,,76.960,54.010,,,76960.0,54010.0
a,A > a,a,Nguyên giá,,86.904,62.778,,,86904.0,62778.0
b,A > b,b,Giá trị khấu hao lũy kế,,(9.944),(8.768),,,-9944.0,-8768.0
XI,A > XI,XI,Tài sản Có khác,,7.190.010,7.136.004,,,7190010.0,7136004.0
1,A > 1,1,Các khoản phải thu,11.1,1.642.097,2.202.813,,111.0,1642097.0,2202813.0
2,A > 2,2,"Các khoản lãi, phí phải thu",11.2,3.091.938,2.581.613,,112.0,3091938.0,2581613.0
4,A > 4,4,Tài sản Có khác,11.3,2.485.228,2.380.855,,113.0,2485228.0,2380855.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,11.5,(29.253),(29.277),,115.0,-29253.0,-29277.0
,,,TỔNG TÀI SẢN CÓ,,396.443.131,325.698.848,,,396443131.0,325698848.0
