row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,31.12.2025Triệu đồng,31.12.2024Triệu đồng,,
Công ty Cổ phần Thăng Long GTC,Công ty Cổ phần Thăng Long GTC,Công ty Cổ phần Thăng Long GTC,Công ty Cổ phần Thăng Long GTC,Công ty Cổ phần Thăng Long GTC,,
Chi phí lãi tiền gửi,Công ty Cổ phần Thăng Long GTC > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,27.611,15.768,27611.0,15768.0
Tập đoàn BRG - Công ty Cổ phần và các công ty con,Tập đoàn BRG - Công ty Cổ phần và các công ty con,Tập đoàn BRG - Công ty Cổ phần và các công ty con,Tập đoàn BRG - Công ty Cổ phần và các công ty con,Tập đoàn BRG - Công ty Cổ phần và các công ty con,,
Chi phí lãi tiền gửi,Tập đoàn BRG - Công ty Cổ phần và các công ty con > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,18.960,22.134,18960.0,22134.0
Thu nhập từ phí bảo lãnh,Tập đoàn BRG - Công ty Cổ phần và các công ty con > Thu nhập từ phí bảo lãnh,Thu nhập từ phí bảo lãnh,-,1,,1.0
Công ty Cổ phần Cho thuê Máy bay Việt Nam,Công ty Cổ phần Cho thuê Máy bay Việt Nam,Công ty Cổ phần Cho thuê Máy bay Việt Nam,Công ty Cổ phần Cho thuê Máy bay Việt Nam,Công ty Cổ phần Cho thuê Máy bay Việt Nam,,
Chi phí lãi tiền gửi,Công ty Cổ phần Cho thuê Máy bay Việt Nam > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,72.864,19.618,72864.0,19618.0
Thu nhập lãi cho vay,Công ty Cổ phần Cho thuê Máy bay Việt Nam > Thu nhập lãi cho vay,Thu nhập lãi cho vay,-,100,,100.0
Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh,,
Bắc Hà Nội,Bắc Hà Nội,Bắc Hà Nội,Bắc Hà Nội,Bắc Hà Nội,,
Chi phí lãi tiền gửi,Bắc Hà Nội > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,79.157,201.912,79157.0,201912.0
Thu nhập lãi cho vay,Bắc Hà Nội > Thu nhập lãi cho vay,Thu nhập lãi cho vay,362.366,4.418,362366.0,4418.0
Thu nhập từ phí bảo lãnh,Bắc Hà Nội > Thu nhập từ phí bảo lãnh,Thu nhập từ phí bảo lãnh,305,-,305.0,
"Lương, thường và thù lao cho Ban Lãnh đạo","Lương, thường và thù lao cho Ban Lãnh đạo","Lương, thường và thù lao cho Ban Lãnh đạo","Lương, thường và thù lao cho Ban Lãnh đạo","Lương, thường và thù lao cho Ban Lãnh đạo",,
Thủ lao của thành viên Hội đồng Quản trị (i),"Lương, thường và thù lao cho Ban Lãnh đạo > Thủ lao của thành viên Hội đồng Quản trị (i)",Thủ lao của thành viên Hội đồng Quản trị (i),29.403,22.519,29403.0,22519.0
Thủ lao của Ban Kiểm soát,"Lương, thường và thù lao cho Ban Lãnh đạo > Thủ lao của Ban Kiểm soát",Thủ lao của Ban Kiểm soát,9.219,5.060,9219.0,5060.0
"Lương, thường và phúc lợi khác của Tổng Giám đốc và người quản lý khác","Lương, thường và thù lao cho Ban Lãnh đạo > Lương, thường và phúc lợi khác của Tổng Giám đốc và người quản lý khác","Lương, thường và phúc lợi khác của Tổng Giám đốc và người quản lý khác",45.123,30.553,45123.0,30553.0
,,,83.745,58.132,83745.0,58132.0
