row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,31.12.2025Triệu đồng,31.12.2024Triệu đồng,,
Lợi nhuận kế toán trước thuế TNDN,Lợi nhuận kế toán trước thuế TNDN,Lợi nhuận kế toán trước thuế TNDN,6.868.389,6.039.399,6868389.0,6039399.0
Thuế tính ở thuế suất 20%Điều chỉnh:,Thuế tính ở thuế suất 20%Điều chỉnh:,Thuế tính ở thuế suất 20%Điều chỉnh:,1.373.678,1.207.880,1373678.0,1207880.0
Thu nhập không chịu thuế,Thu nhập không chịu thuế,Thu nhập không chịu thuế,(2.742),(289),-2742.0,-289.0
Chi phí không được khấu trừ,Chi phí không được khấu trừ,Chi phí không được khấu trừ,191,1.282,191.0,1282.0
Điều chỉnh số thuế phải nộp năm trước,Điều chỉnh số thuế phải nộp năm trước,Điều chỉnh số thuế phải nộp năm trước,-,259,,259.0
Điều chỉnh lợi nhuận do hợp nhất,Điều chỉnh lợi nhuận do hợp nhất,Điều chỉnh lợi nhuận do hợp nhất,(12.277),14.241,-12277.0,14241.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,1.358.850,1.223.373,1358850.0,1223373.0
Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động hợp nhất:,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động hợp nhất:,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động hợp nhất:,,,,
Chi phí thuế TNDN - hiện hành,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động hợp nhất: > Chi phí thuế TNDN - hiện hành,Chi phí thuế TNDN - hiện hành,1.358.850,1.223.373,1358850.0,1223373.0
Thu nhập thuế TNDN - hoãn lại,Thu nhập thuế TNDN - hoãn lại,Thu nhập thuế TNDN - hoãn lại,-,-,,
Chi phí thuế TNDN (*),Thu nhập thuế TNDN - hoãn lại > Chi phí thuế TNDN (*),Chi phí thuế TNDN (*),1.358.850,1.223.373,1358850.0,1223373.0
