row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,VND,EUR,USD,Khác,Tổng cộng,numeric__VND,numeric__EUR,numeric__USD,numeric__Khác,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",815.319,32.135,170.967,22.187,1.040.608,815319.0,32135.0,170967.0,22187.0,1040608.0
Tiền gửi tai NHNN,Tài sản > Tiền gửi tai NHNN,Tiền gửi tai NHNN,5.408.047,-,19.064.428,-,24.472.475,5408047.0,,19064428.0,,24472475.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,82.609.367,50.867,8.432.735,353.992,91.446.961,82609367.0,50867.0,8432735.0,353992.0,91446961.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),11.457.635,-,-,-,11.457.635,11457635.0,,,,11457635.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),227.595.002,-,9.452.098,-,237.047.100,227595002.0,,9452098.0,,237047100.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),25.555.885,-,-,-,25.555.885,25555885.0,,,,25555885.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",59.070,-,-,-,59.070,59070.0,,,,59070.0
TSCĐ và bất động sản đầu tư,Tài sản > TSCĐ và bất động sản đầu tư,TSCĐ và bất động sản đầu tư,1.566.304,-,-,-,1.566.304,1566304.0,,,,1566304.0
Các tài sản Có khác (*),Tài sản > Các tài sản Có khác (*),Các tài sản Có khác (*),7.010.110,465,208.688,-,7.219.263,7010110.0,465.0,208688.0,,7219263.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,362.076.739,83.467,37.328.916,376.179,399.865.301,362076739.0,83467.0,37328916.0,376179.0,399865301.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,,,
"Tiền gửi và vay Chính phủ, NHNN","Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay Chính phủ, NHNN","Tiền gửi và vay Chính phủ, NHNN",20.819.380,-,-,-,20.819.380,20819380.0,,,,20819380.0
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,85.884.038,-,21.396.968,-,107.281.006,85884038.0,,21396968.0,,107281006.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,183.862.963,55.783,7.629.215,259.254,191.807.215,183862963.0,55783.0,7629215.0,259254.0,191807215.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả và vốn chủ sở hữu > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,(6.817.284),18.614,7.025.660,33.408,260.398,-6817284.0,18614.0,7025660.0,33408.0,260398.0
Giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Giấy tờ có giá,Giấy tờ có giá,26.050.000,-,3.934.050,-,29.984.050,26050000.0,,3934050.0,,29984050.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,5.398.980,125,519.383,-,5.918.488,5398980.0,125.0,519383.0,,5918488.0
Vốn và các quỹ,Nợ phải trả và vốn chủ sở hữu > Vốn và các quỹ,Vốn và các quỹ,40.372.594,-,-,-,40.372.594,40372594.0,,,,40372594.0
Tổng nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,355.570.671,74.522,40.505.276,292.662,396.443.131,355570671.0,74522.0,40505276.0,292662.0,396443131.0
Trạng thái tiền tệ nội bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,6.506.068,8.945,(3.176.360),83.517,3.422.170,6506068.0,8945.0,-3176360.0,83517.0,3422170.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,-,-,1.369.202,(10.110),1.359.092,,,1369202.0,-10110.0,1359092.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",6.506.068,8.945,(1.807.158),73.407,4.781.262,6506068.0,8945.0,-1807158.0,73407.0,4781262.0
