row_label_raw,row_label_full,col_0,31.12.2025Triệu đồng,31.12.2025Triệu đồng_1,31.12.2024Triệu đồng,31.12.2024Triệu đồng_1,col_5,col_6,col_7,col_8,col_9,numeric__31.12.2025Triệu đồng,numeric__31.12.2025Triệu đồng_1,numeric__31.12.2024Triệu đồng,numeric__31.12.2024Triệu đồng_1,numeric__col_5,numeric__col_6,numeric__col_7,numeric__col_8,numeric__col_9
,,,Tài sản thuê ngoài,1.263.489,1.358.634,,,,,,,,1263489.0,1358634.0,,,,,,
"Kim loại quý, đá quý giữ hộ","Kim loại quý, đá quý giữ hộ","Kim loại quý, đá quý giữ hộ",6.952,15.649,,,,,,,,6952.0,15649.0,,,,,,,
Các chứng từ có giá trị khác đang bảo quản,Các chứng từ có giá trị khác đang bảo quản,Các chứng từ có giá trị khác đang bảo quản,4.644,3.944,,,,,,,,4644.0,3944.0,,,,,,,
,,,1.275.085,1.378.227,,,,,,,,1275085.0,1378227.0,,,,,,,
"MỨC ĐỘ TẬP TRUNG CỦA TÀI SẢN, CÔNG NỘ VÀ CÁC KHOÀN MỤC NGOẠI BÀNG THEO KHU VỰC ĐỊA LÝ","MỨC ĐỘ TẬP TRUNG CỦA TÀI SẢN, CÔNG NỘ VÀ CÁC KHOÀN MỤC NGOẠI BÀNG THEO KHU VỰC ĐỊA LÝ","MỨC ĐỘ TẬP TRUNG CỦA TÀI SẢN, CÔNG NỘ VÀ CÁC KHOÀN MỤC NGOẠI BÀNG THEO KHU VỰC ĐỊA LÝ","MỨC ĐỘ TẬP TRUNG CỦA TÀI SẢN, CÔNG NỘ VÀ CÁC KHOÀN MỤC NGOẠI BÀNG THEO KHU VỰC ĐỊA LÝ","MỨC ĐỘ TẬP TRUNG CỦA TÀI SẢN, CÔNG NỘ VÀ CÁC KHOÀN MỤC NGOẠI BÀNG THEO KHU VỰC ĐỊA LÝ","MỨC ĐỘ TẬP TRUNG CỦA TÀI SẢN, CÔNG NỘ VÀ CÁC KHOÀN MỤC NGOẠI BÀNG THEO KHU VỰC ĐỊA LÝ","MỨC ĐỘ TẬP TRUNG CỦA TÀI SẢN, CÔNG NỘ VÀ CÁC KHOÀN MỤC NGOẠI BÀNG THEO KHU VỰC ĐỊA LÝ","MỨC ĐỘ TẬP TRUNG CỦA TÀI SẢN, CÔNG NỘ VÀ CÁC KHOÀN MỤC NGOẠI BÀNG THEO KHU VỰC ĐỊA LÝ","MỨC ĐỘ TẬP TRUNG CỦA TÀI SẢN, CÔNG NỘ VÀ CÁC KHOÀN MỤC NGOẠI BÀNG THEO KHU VỰC ĐỊA LÝ","MỨC ĐỘ TẬP TRUNG CỦA TÀI SẢN, CÔNG NỘ VÀ CÁC KHOÀN MỤC NGOẠI BÀNG THEO KHU VỰC ĐỊA LÝ","MỨC ĐỘ TẬP TRUNG CỦA TÀI SẢN, CÔNG NỘ VÀ CÁC KHOÀN MỤC NGOẠI BÀNG THEO KHU VỰC ĐỊA LÝ",,,,,,,,,,
,,,Tiền gửi và cho vay các TCTD khác,Cho vay khách hàng (*),Chứng khoán kinh doanh và chứng khoán đầu tư (*),"Góp vốn, đầu tư dài hạn (*)",Tiền gửi và vay các TCTD khác,Tiền gửi của khách hàng,Công cụ tài chính phái sinh (**),Đơn vị: Triệu đồng,Đơn vị: Triệu đồng,,,,,,,,,
,,,Tiền gửi và cho vay các TCTD khác,Cho vay khách hàng (*),Chứng khoán kinh doanh và chứng khoán đầu tư (*),"Góp vốn, đầu tư dài hạn (*)",Tiền gửi và vay các TCTD khác,Tiền gửi của khách hàng,Công cụ tài chính phái sinh (**),Phát hành giấy tờ có giá,Các cam kết tín dụng (**),,,,,,,,,
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,,,,,,,,,
Trong nước,Tại ngày 31 tháng 12 năm 2025 > Trong nước,Trong nước,86.785.815,236.824.928,37.013.520,59.070,88.244.474,191.730.014,155.793.120,26.050.000,24.536.919,86785815.0,236824928.0,37013520.0,59070.0,88244474.0,191730014.0,155793120.0,26050000.0,24536919.0
Nước ngoài,Tại ngày 31 tháng 12 năm 2025 > Nước ngoài,Nước ngoài,4.661.146,222.172,-,-,19.036.532,77.201,52.022,3.934.050,-,4661146.0,222172.0,,,19036532.0,77201.0,52022.0,3934050.0,
,,,91.446.961,237.047.100,37.013.520,59.070,107.281.006,191.807.215,155.845.142,29.984.050,24.536.919,91446961.0,237047100.0,37013520.0,59070.0,107281006.0,191807215.0,155845142.0,29984050.0,24536919.0
