row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2025Triệu đồng,Tại ngày > 31.12.2024Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2025Triệu đồng,numeric__Tại ngày > 31.12.2024Triệu đồng
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNN,12,20.819.380,2.064.483,,12.0,20819380.0,2064483.0
1,B > 1,1,"Tiền gửi và vay Chính phủ, NHNN",,20.819.380,2.064.483,,,20819380.0,2064483.0
II,B > II,II,Tiền gửi và vay các TCTD khác,,107.281.006,85.303.651,,,107281006.0,85303651.0
1,B > 1,1,Tiền gửi của các TCTD khác,13.1,85.299.617,55.895.146,,131.0,85299617.0,55895146.0
2,B > 2,2,Vay các TCTD khác,13.2,21.981.389,29.408.505,,132.0,21981389.0,29408505.0
III,B > III,III,Tiền gửi của khách hàng,14,191.807.215,168.320.164,,14.0,191807215.0,168320164.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,15,260.398,303.574,,15.0,260398.0,303574.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",,-,1.020,,,,1020.0
VI,B > VI,VI,Phát hành giấy tờ có giá,16,29.984.050,30.450.200,,16.0,29984050.0,30450200.0
VII,B > VII,VII,Các khoản nợ khác,,5.918.488,4.252.901,,,5918488.0,4252901.0
1,B > 1,1,"Các khoản lãi, phí phải trả",17.1,3.997.234,2.922.277,,171.0,3997234.0,2922277.0
3,B > 3,3,Các khoản phải trả và công nợ khác,17.2,1.921.254,1.330.624,,172.0,1921254.0,1330624.0
,,,TỔNG NỘ PHẢI TRẢ,,356.070.537,290.695.993,,,356070537.0,290695993.0
VIII,B > VIII,VIII,VỐN CHỦ SỞ HỮU,18,40.372.594,35.002.855,,18.0,40372594.0,35002855.0
1,B > 1,1,Vốn của tổ chức tín dụng,,28.453.167,28.353.167,,,28453167.0,28353167.0
a,B > a,a,Vốn điều lệ,,28.450.000,28.350.000,,,28450000.0,28350000.0
b,B > b,b,Thặng dư vốn cổ phần,,3.167,3.167,,,3167.0,3167.0
2,B > 2,2,Quỹ của TCTD,,3.701.252,2.666.271,,,3701252.0,2666271.0
5,B > 5,5,Lợi nhuận chưa phân phối,,8.218.175,3.983.417,,,8218175.0,3983417.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,40.372.594,35.002.855,,,40372594.0,35002855.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,396.443.131,325.698.848,,,396443131.0,325698848.0
