row_label_raw,row_label_full,col_0,31.12.2025Triệu đồng,31.12.2024Triệu đồng,numeric__31.12.2025Triệu đồng,numeric__31.12.2024Triệu đồng
Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tình hình tài chính hợp nhất:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tình hình tài chính hợp nhất:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tình hình tài chính hợp nhất:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tình hình tài chính hợp nhất:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tình hình tài chính hợp nhất:,,
Tiền gửi và cho vay các TCTD khác,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tình hình tài chính hợp nhất: > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,91.446.961,70.243.963,91446961.0,70243963.0
Chứng khoán kinh doanh (Thuyết minh 6.4),Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tình hình tài chính hợp nhất: > Chứng khoán kinh doanh (Thuyết minh 6.4),Chứng khoán kinh doanh (Thuyết minh 6.4),3.731.450,4.123.920,3731450.0,4123920.0
Cho vay khách hàng (Thuyết minh 7.3),Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tình hình tài chính hợp nhất: > Cho vay khách hàng (Thuyết minh 7.3),Cho vay khách hàng (Thuyết minh 7.3),237.047.100,209.354.643,237047100.0,209354643.0
Chứng khoán đầu tư (Thuyết minh 8.4),Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tình hình tài chính hợp nhất: > Chứng khoán đầu tư (Thuyết minh 8.4),Chứng khoán đầu tư (Thuyết minh 8.4),9.663.550,6.827.761,9663550.0,6827761.0
Các tài sản tài chính khác,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tình hình tài chính hợp nhất: > Các tài sản tài chính khác,Các tài sản tài chính khác,4.307.681,4.784.426,4307681.0,4784426.0
,,,346.196.742,295.334.713,346196742.0,295334713.0
Mức rủi ro tín dụng của các khoản mục ngoại bảng:,Mức rủi ro tín dụng của các khoản mục ngoại bảng:,Mức rủi ro tín dụng của các khoản mục ngoại bảng:,Mức rủi ro tín dụng của các khoản mục ngoại bảng:,Mức rủi ro tín dụng của các khoản mục ngoại bảng:,,
Các hợp đồng bảo lãnh tài chính,Mức rủi ro tín dụng của các khoản mục ngoại bảng: > Các hợp đồng bảo lãnh tài chính,Các hợp đồng bảo lãnh tài chính,16.469.846,8.916.602,16469846.0,8916602.0
Các cam kết trong nghiệp vụ L/C,Mức rủi ro tín dụng của các khoản mục ngoại bảng: > Các cam kết trong nghiệp vụ L/C,Các cam kết trong nghiệp vụ L/C,8.067.073,2.343.582,8067073.0,2343582.0
,,,24.536.919,11.260.184,24536919.0,11260184.0
,,,370.733.661,306.594.897,370733661.0,306594897.0
