row_label_raw,row_label_full,Hoạt động ngân hàng,Hoạt động công ty tài chính,Hoạt động quản lý nợ và khai thác tài sản,Loại trừ các giao dịch nội bộ khi hợp nhất,Đơn vị: Triệu đồng Tổng cộng,numeric__Hoạt động công ty tài chính,numeric__Hoạt động quản lý nợ và khai thác tài sản,numeric__Loại trừ các giao dịch nội bộ khi hợp nhất,numeric__Đơn vị: Triệu đồng Tổng cộng
29.320.440,29.320.440,29.320.440,26.453,145.449,32.304,29.524.646,26453.0,145449.0,32304.0,29524646.0
24.532.799,24.532.799,24.532.799,25.138,42.822,(30.866),24.569.893,25138.0,42822.0,-30866.0,24569893.0
967.700,967.700,967.700,145,96.410,(4.147),1.060.108,145.0,96410.0,-4147.0,1060108.0
3.819.941,3.819.941,3.819.941,1.170,6.217,67.317,3.894.645,1170.0,6217.0,67317.0,3894645.0
(19.993.133),(19.993.133),(19.993.133),(24.617),(81.738),29.079,(20.070.409),-24617.0,-81738.0,29079.0,-20070409.0
(14.881.877),(14.881.877),(14.881.877),(13.050),(1.998),30.866,(14.866.059),-13050.0,-1998.0,30866.0,-14866059.0
(261.100),(261.100),(261.100),(18),(73.706),-,(334.824),-18.0,-73706.0,,-334824.0
(209.778),(209.778),(209.778),(33),(262),-,(210.073),-33.0,-262.0,,-210073.0
(4.640.378),(4.640.378),(4.640.378),(11.516),(5.772),(1.787),(4.659.453),-11516.0,-5772.0,-1787.0,-4659453.0
9.327.307,9.327.307,9.327.307,1.836,63.711,61.383,9.454.237,1836.0,63711.0,61383.0,9454237.0
(2.585.122),(2.585.122),(2.585.122),(726),-,-,(2.585.848),-726.0,,,-2585848.0
6.742.185,6.742.185,6.742.185,1.110,63.711,61.383,6.868.389,1110.0,63711.0,61383.0,6868389.0
397.074.456,397.074.456,397.074.456,-,1.296.884,(1.928.209),396.443.131,,1296884.0,-1928209.0,396443131.0
1.040.577,1.040.577,1.040.577,-,31,-,1.040.608,,31.0,,1040608.0
24.472.475,24.472.475,24.472.475,-,-,-,24.472.475,,,,24472475.0
91.446.961,91.446.961,91.446.961,-,808.350,(808.350),91.446.961,,808350.0,-808350.0,91446961.0
233.780.410,233.780.410,233.780.410,-,-,-,233.780.410,,,,233780410.0
36.887.293,36.887.293,36.887.293,-,-,-,36.887.293,,,,36887293.0
1.059.070,1.059.070,1.059.070,-,-,(1.000.000),59.070,,,-1000000.0,59070.0
1.489.344,1.489.344,1.489.344,-,-,-,1.489.344,,,,1489344.0
6.898.326,6.898.326,6.898.326,-,488.503,(119.859),7.266.970,,488503.0,-119859.0,7266970.0
356.861.602,356.861.602,356.861.602,-,137.143,(928.208),356.070.537,,137143.0,-928208.0,356070537.0
20.819.380,20.819.380,20.819.380,-,-,-,20.819.380,,,,20819380.0
107.281.006,107.281.006,107.281.006,-,-,-,107.281.006,,,,107281006.0
192.615.565,192.615.565,192.615.565,-,-,(808.350),191.807.215,,,-808350.0,191807215.0
29.984.050,29.984.050,29.984.050,-,-,-,29.984.050,,,,29984050.0
6.161.601,6.161.601,6.161.601,-,137.143,(119.858),6.178.886,,137143.0,-119858.0,6178886.0
