row_label_raw,row_label_full,STT,CHỈ TIÊU > Năm tài chính kết thúc ngày 31 tháng 12 năm 2025,numeric__CHỈ TIÊU > Năm tài chính kết thúc ngày 31 tháng 12 năm 2025
I.,I.,I.,Doanh thu,
1.,1.,1.,Thu nhập lãi và các khoản thu nhập tương tự,
2.,2.,2.,Thu nhập từ hoạt động dịch vụ,
3.,3.,3.,Thu nhập từ các hoạt động khác,
II.,II.,II.,Chi phí,
1.,1.,1.,Chi phí lãi và các chi phí tương tự,
2.,2.,2.,Chi phí từ hoạt động dịch vụ,
3.,3.,3.,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,
4.,4.,4.,Chi phí hoạt động,
,,,Kết quả kinh doanh trước chi phí dự phòng rủi ro,
,,,Chi phí dự phòng rủi ro tín dụng,
,,,Kết quả kinh doanh bộ phận trước thuế,
,,,Tại ngày 31 tháng 12 năm 2025,
I.,I.,I.,Tài sản,
1.,1.,1.,"Tiền mặt, vàng bạc, đá quý",
2.,2.,2.,Tiền gửi tại NHNN,
3.,3.,3.,Tiền gửi và cho vay các TCTD khác,
4.,4.,4.,Cho vay khách hàng,
5.,5.,5.,Chứng khoán kinh doanh và chứng khoán đầu tư,
6.,6.,6.,"Góp vốn, đầu tư dài hạn",
7.,7.,7.,Tải sản cố định,
8.,8.,8.,Tải sản khác,
II.,II.,II.,Nợ phải trả,
1.,1.,1.,Các khoản nợ Chính phủ và NHNNVN,
2.,2.,2.,Tiền gửi và vay các TCTD khác,
3.,3.,3.,Tiền gửi của khách hàng,
4.,4.,4.,Phát hành giấy tờ có giả,
5.,5.,5.,Các khoản nợ khác,
