row_label_raw,row_label_full,TSCĐ,TSCĐ_1,TSCĐ_2,TSCĐ_3,TSCĐ_4,TSCĐ_5,TSCĐ_6,numeric__TSCĐ_1,numeric__TSCĐ_2,numeric__TSCĐ_3,numeric__TSCĐ_4,numeric__TSCĐ_5,numeric__TSCĐ_6
,,,"Nhà cửa,vật kiến trúcTriệu đồng","Máy móc,thiết bịTriệu đồng","Phương tiệnvận tải,truyền đãnTriệu đồng",Thiết bịvăn phòngTriệu đồng,KhácTriệu đồng,Tổng cộngTriệu đồng,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2025,Nguyên giá > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,18.677,480.823,434.554,118.572,39.326,1.091.952,18677.0,480823.0,434554.0,118572.0,39326.0,1091952.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,77.181,40.059,8.195,266,125.701,,77181.0,40059.0,8195.0,266.0,125701.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.288),(10.085),(1.570),(6.133),(331),(19.407),-1288.0,-10085.0,-1570.0,-6133.0,-331.0,-19407.0
Giảm do bán công ty con,Nguyên giá > Giảm do bán công ty con,Giảm do bán công ty con,-,(1.854),-,(2.473),-,(4.327),,-1854.0,,-2473.0,,-4327.0
Tại ngày 31 tháng 12 năm 2025,Nguyên giá > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,17.389,546.065,473.043,118.161,39.261,1.193.919,17389.0,546065.0,473043.0,118161.0,39261.0,1193919.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,(7.168),(230.115),(259.611),(91.143),(15.450),(603.487),-7168.0,-230115.0,-259611.0,-91143.0,-15450.0,-603487.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(820),(41.824),(39.848),(12.053),(4.315),(98.860),-820.0,-41824.0,-39848.0,-12053.0,-4315.0,-98860.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",413,9.365,1.570,6.130,331,17.809,413.0,9365.0,1570.0,6130.0,331.0,17809.0
Giảm do bán công ty con,Giá trị khấu hao lũy kế > Giảm do bán công ty con,Giảm do bán công ty con,-,872,-,2.211,-,3.083,,872.0,,2211.0,,3083.0
Tại ngày 31 tháng 12 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,(7.575),(261.702),(297.889),(94.855),(19.434),(681.455),-7575.0,-261702.0,-297889.0,-94855.0,-19434.0,-681455.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,11.509,250.708,174.943,27.429,23.876,488.465,11509.0,250708.0,174943.0,27429.0,23876.0,488465.0
Tại ngày 31 tháng 12 năm 2025,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,9.814,284.363,175.154,23.306,19.827,512.464,9814.0,284363.0,175154.0,23306.0,19827.0,512464.0
