row_label_raw,row_label_full,STT,Tên công ty,Giấy Chứng nhận Đăng kýDoanh nghiệp/Giấy phépHoạt động,Lĩnh vực hoạt động chính,31.12.2025,31.12.2025_1,31.12.2024,31.12.2024_1,numeric__Tên công ty,numeric__Giấy Chứng nhận Đăng kýDoanh nghiệp/Giấy phépHoạt động,numeric__Lĩnh vực hoạt động chính,numeric__31.12.2025,numeric__31.12.2025_1,numeric__31.12.2024,numeric__31.12.2024_1
STT,STT,STT,Tên công ty,Giấy Chứng nhận Đăng kýDoanh nghiệp/Giấy phépHoạt động,Lĩnh vực hoạt động chính,Tỷ lệ sở hữu,Tỷ lệ quyền biểu quyết,Tỷ lệ sở hữu,Tỷ lệ quyền biểu quyết,,,,,,,
1,STT > 1,1,Công ty TNHH Một thành viênQuản lý nợ và Khai thác Tài sảnSeABank,Số 0103099985 do Sở Kế hoạch và Đầu tư Thành phố Hà Nội (nay là Sở Tài chính Thành phố Hà Nội)cấp ngày 16 tháng 12 năm 2008và điều chỉnh gần nhất đề ngày 10tháng 12 năm 2024.,Quản lý nợ và khai thác tài sản,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
2,STT > 2,2,Công ty Tài chínhTNHH MTVBưu Điện (đềngày 3 tháng 2năm 2025),Số 96/GP-NHNN đề ngày 28 tháng9 năm 2018 và sửa đổi bổ sungtheo Quyết định số 50/QĐ-NHNNđề ngày 9 tháng 1 năm 2023 củaThống đốc NHNN.,Tài chính tiêu dùng,-,-,100%,100%,,,,,,1.0,1.0
