row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,31.12.2025Triệu đồng,31.12.2024Triệu đồng,,
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,
Thu từ nợ đã xử lý rủi ro,Thu nhập từ hoạt động khác > Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,136.089,592.417,136089.0,592417.0
Thu từ nghiệp vụ phải sinh khác,Thu nhập từ hoạt động khác > Thu từ nghiệp vụ phải sinh khác,Thu từ nghiệp vụ phải sinh khác,118.100,164.141,118100.0,164141.0
Thu nhập khác,Thu nhập từ hoạt động khác > Thu nhập khác,Thu nhập khác,105.667,46.008,105667.0,46008.0
,,,359.856,802.566,359856.0,802566.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,
Chi phí nghiệp vụ phải sinh khác,Chi phí hoạt động khác > Chi phí nghiệp vụ phải sinh khác,Chi phí nghiệp vụ phải sinh khác,(139.594),(172.560),-139594.0,-172560.0
Chi phí khác,Chi phí hoạt động khác > Chi phí khác,Chi phí khác,(70.479),(20.404),-70479.0,-20404.0
,,,(210.073),(192.964),-210073.0,-192964.0
Lãi thuần từ hoạt động kinh doanh khác,Chi phí hoạt động khác > Lãi thuần từ hoạt động kinh doanh khác,Lãi thuần từ hoạt động kinh doanh khác,149.783,609.602,149783.0,609602.0
