row_label_raw,row_label_full,col_0,Vốn điều lệTriệu đồng,Thăng dưvốn cổ phầnTriệu đồng,Quỹ của TCTD,Quỹ của TCTD_1,Quỹ của TCTD_2,Lợi nhuậnchưaphân phốiTriệu đồng,Tổng cộngTriệu đồng,numeric__Vốn điều lệTriệu đồng,numeric__Thăng dưvốn cổ phầnTriệu đồng,numeric__Quỹ của TCTD,numeric__Quỹ của TCTD_1,numeric__Quỹ của TCTD_2,numeric__Lợi nhuậnchưaphân phốiTriệu đồng,numeric__Tổng cộngTriệu đồng
,,,Vốn điều lệTriệu đồng,Thăng dưvốn cổ phầnTriệu đồng,Quýdự phòngtài chínhTriệu đồng,Quý dự trữbố sungvốn điều lệTriệu đồng,Tổng cộngQuý củaTCTDTriệu đồng,Lợi nhuậnchưaphân phốiTriệu đồng,Tổng cộngTriệu đồng,,,,,,,
Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,24.957.000,106.167,1.318.509,396.830,1.715.339,3.518.333,30.296.839,24957000.0,106167.0,1318509.0,396830.0,1715339.0,3518333.0,30296839.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,4.816.026,4.816.026,,,,,,4816026.0,4816026.0
Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,3.290.000,-,-,-,-,(3.290.000),-,3290000.0,,,,,-3290000.0,
Tăng vốn từ nguồn thẳng dư vốncổ phần,Tăng vốn từ nguồn thẳng dư vốncổ phần,Tăng vốn từ nguồn thẳng dư vốncổ phần,103.000,(103.000),-,-,-,-,-,103000.0,-103000.0,,,,,
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,475.466,475.466,950.932,(950.932),-,,,475466.0,475466.0,950932.0,-950932.0,
"Trích quỹ khen thưởng, phúc lợi(Thuyết minh 17.2)","Trích quỹ khen thưởng, phúc lợi(Thuyết minh 17.2)","Trích quỹ khen thưởng, phúc lợi(Thuyết minh 17.2)",-,-,-,-,-,(110.010),(110.010),,,,,,-110010.0,-110010.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,28.350.000,3.167,1.793.975,872.296,2.666.271,3.983.417,35.002.855,28350000.0,3167.0,1793975.0,872296.0,2666271.0,3983417.0,35002855.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,5.509.539,5.509.539,,,,,,5509539.0,5509539.0
Tăng vốn từ phát hành cổ phiếutheo chương trình lựa chọn chongười lao động (i),Tăng vốn từ phát hành cổ phiếutheo chương trình lựa chọn chongười lao động (i),Tăng vốn từ phát hành cổ phiếutheo chương trình lựa chọn chongười lao động (i),100.000,-,-,-,-,-,100.000,100000.0,,,,,,100000.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,490.253,544.728,1.034.981,(1.034.981),-,,,490253.0,544728.0,1034981.0,-1034981.0,
"Trích quỹ khen thưởng, phúc lợi(Thuyết minh 17.2) (ii)","Trích quỹ khen thưởng, phúc lợi(Thuyết minh 17.2) (ii)","Trích quỹ khen thưởng, phúc lợi(Thuyết minh 17.2) (ii)",-,-,-,-,-,(235.000),(235.000),,,,,,-235000.0,-235000.0
Các khoản giảm khác,Các khoản giảm khác,Các khoản giảm khác,-,-,-,-,-,(4.800),(4.800),,,,,,-4800.0,-4800.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,28.450.000,3.167,2.284.228,1.417.024,3.701.252,8.218.175,40.372.594,28450000.0,3167.0,2284228.0,1417024.0,3701252.0,8218175.0,40372594.0
