row_label_raw,row_label_full,col_0,Lĩnh vực bán vé cầu đường,Lĩnh vực kinh doanh bất động sản,Lĩnh vực kinh doanh bất động sản đầu tư,Các lĩnh vực khác,Các khoản loại trừ,Cộng,numeric__Lĩnh vực bán vé cầu đường,numeric__Lĩnh vực kinh doanh bất động sản,numeric__Lĩnh vực kinh doanh bất động sản đầu tư,numeric__Các lĩnh vực khác,numeric__Các khoản loại trừ,numeric__Cộng
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,,,,
Tài sản trực tiếp của bộ phận,Số cuối năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,542.566.559.385,5.746.809.710.485,174.285.075.621,589.252.575.326,-,7.052.913.920.817,542566559385.0,5746809710485.0,174285075621.0,589252575326.0,,7052913920817.0
Các tài sản không phân bổ theo bộ phận,Số cuối năm > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,,,242.093.072.951,,,,,,242093072951.0
Tổng tài sản,Số cuối năm > Tổng tài sản,Tổng tài sản,,,,,,7.295.006.993.768,,,,,,7295006993768.0
Nợ phải trả trực tiếp của bộ phận,Số cuối năm > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,41.200.000.000,3.288.105.877.041,207.525.030.357,123.631.606.274,-,3.660.462.513.672,41200000000.0,3288105877041.0,207525030357.0,123631606274.0,,3660462513672.0
Nợ phải trả không phân bổ theo bộ phận,Số cuối năm > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,681.147.661.570,,,,,,681147661570.0
Tổng nợ phải trả,Số cuối năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,4.341.610.175.242,,,,,,4341610175242.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
Tài sản trực tiếp của bộ phận,Số đầu năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,562.807.856.556,5.262.406.007.856,204.354.295.324,514.423.841.254,-,6.543.992.000.990,562807856556.0,5262406007856.0,204354295324.0,514423841254.0,,6543992000990.0
Các tài sản không phân bổ theo bộ phận,Số đầu năm > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,,,170.388.361.732,,,,,,170388361732.0
Tổng tài sản,Số đầu năm > Tổng tài sản,Tổng tài sản,,,,,,6.714.380.362.722,,,,,,6714380362722.0
Nợ phải trả trực tiếp của bộ phận,Số đầu năm > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,55.505.982.907,2.589.492.104.441,209.330.688.535,174.306.830.294,-,3.028.635.606.177,55505982907.0,2589492104441.0,209330688535.0,174306830294.0,,3028635606177.0
Nợ phải trả không phân bổ theo bộ phận,Số đầu năm > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,620.783.819.866,,,,,,620783819866.0
Tổng nợ phải trả,Số đầu năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,3.649.419.426.043,,,,,,3649419426043.0
