row_label_raw,row_label_full,col_0,Mã số,Số liệu trước điều chỉnh,Các điều chỉnh,Số liệu sau điều chỉnh,Ghi chú,numeric__Mã số,numeric__Số liệu trước điều chỉnh,numeric__Các điều chỉnh,numeric__Số liệu sau điều chỉnh,numeric__Ghi chú
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,268,568.478.140,(568.478.140),-,(i),268.0,568478140.0,-568478140.0,,
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,592.329.215.183,(349.565.275.500),242.763.939.683,(ii),311.0,592329215183.0,-349565275500.0,242763939683.0,
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,593.068.710.349,(185.120.066.279),407.948.644.070,(i),315.0,593068710349.0,-185120066279.0,407948644070.0,
Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,331,-,349.565.275.500,349.565.275.500,(ii),331.0,,349565275500.0,349565275500.0,
Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,333,-,185.120.066.279,185.120.066.279,(i),333.0,,185120066279.0,185120066279.0,
Qũy đầu tư phát triển,Qũy đầu tư phát triển,Qũy đầu tư phát triển,418,30.644.475.288,50.961.906.875,81.606.382.163,(i),418.0,30644475288.0,50961906875.0,81606382163.0,
Qũy dự phòng tài chính,Qũy dự phòng tài chính,Qũy dự phòng tài chính,-,50.961.906.875,(50.961.906.875),-,(i),,50961906875.0,-50961906875.0,,
Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,,,,,
"Tăng, giảm các khoản phải trả","Báo cáo lưu chuyển tiền tệ > Tăng, giảm các khoản phải trả","Tăng, giảm các khoản phải trả",11,482.181.587.517,4.029.577.813,486.211.165.330,(iii),11.0,482181587517.0,4029577813.0,486211165330.0,
Tiền thu khác từ hoạt động kinh doanh,Báo cáo lưu chuyển tiền tệ > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,98.293.256.814,(98.293.256.814),-,(iii),16.0,98293256814.0,-98293256814.0,,
Tiền chi khác cho hoạt động kinh doanh,Báo cáo lưu chuyển tiền tệ > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(99.477.895.103),94.263.679.001,(5.214.216.102),(iii),17.0,-99477895103.0,94263679001.0,-5214216102.0,
