row_label_raw,row_label_full,col_0,Lĩnh vực bán vế cầu đường,Lĩnh vực kinh doanh bắt động sản,Lĩnh vực kinh doanh bắt động sản đầu tư,Các lĩnh vực khác,Các khoản loại trừ,Cộng,numeric__Lĩnh vực bán vế cầu đường,numeric__Lĩnh vực kinh doanh bắt động sản,numeric__Lĩnh vực kinh doanh bắt động sản đầu tư,numeric__Các lĩnh vực khác,numeric__Các khoản loại trừ,numeric__Cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm trước > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,202.749.375.601,758.255.691.713,13.858.087.829,5.421.478.082,-,980.284.633.225,202749375601.0,758255691713.0,13858087829.0,5421478082.0,,980284633225.0
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Năm trước > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,202.749.375.601,758.255.691.713,13.858.087.829,5.421.478.082,-,980.284.633.225,202749375601.0,758255691713.0,13858087829.0,5421478082.0,,980284633225.0
Kết quả kinh doanh theo bộ phận,Năm trước > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,135.384.501.646,151.907.786.461,(1.635.824.470),(725.111.272),-,284.931.352.366,135384501646.0,151907786461.0,-1635824470.0,-725111272.0,,284931352366.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,-,,,,,,
Lợi nhuận từ hoạt động kinh doanh,Các chi phí không phân bổ theo bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,284.931.352.366,,,,,,284931352366.0
Doanh thu hoạt động tài chính,Các chi phí không phân bổ theo bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,6.254.117.596,,,,,,6254117596.0
Chi phí tài chính,Các chi phí không phân bổ theo bộ phận > Chi phí tài chính,Chi phí tài chính,,,,,,(14.727.595.669),,,,,,-14727595669.0
Thu nhập khác,Các chi phí không phân bổ theo bộ phận > Thu nhập khác,Thu nhập khác,,,,,,1.995.744.492,,,,,,1995744492.0
Chi phí khác,Các chi phí không phân bổ theo bộ phận > Chi phí khác,Chi phí khác,,,,,,(5.355.613.126),,,,,,-5355613126.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Các chi phí không phân bổ theo bộ phận > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,(45.666.583.550),,,,,,-45666583550.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,-,,,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,227.431.422.109,,,,,,227431422109.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,6.430.833.980,4.079.713.552,10.355.566.994,422.122.015,-,21.288.236.541,6430833980.0,4079713552.0,10355566994.0,422122015.0,,21288236541.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,33.859.137.078,2.228.866.733,3.970.244.957,7.209.633.958,-,47.267.882.726,33859137078.0,2228866733.0,3970244957.0,7209633958.0,,47267882726.0
Tổng giá trị các khoản chi phí lớn không bằng tiền (trừ chi phí khấu hao và phân bổ chi phí trả trước dài hạn),Tổng giá trị các khoản chi phí lớn không bằng tiền (trừ chi phí khấu hao và phân bổ chi phí trả trước dài hạn),Tổng giá trị các khoản chi phí lớn không bằng tiền (trừ chi phí khấu hao và phân bổ chi phí trả trước dài hạn),-,-,-,-,-,-,,,,,,
