row_label_raw,row_label_full,col_0,Số đầu năm,Số tiền vay phát sinh trong năm,Kết chuyển từ vay và nợ dài hạn,Số tiền vay đã trả trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số tiền vay phát sinh trong năm,numeric__Kết chuyển từ vay và nợ dài hạn,numeric__Số tiền vay đã trả trong năm,numeric__Số cuối năm
Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,142.504.048.744,257.373.769.029,-,(196.790.699.438),203.087.118.335,142504048744.0,257373769029.0,,-196790699438.0,203087118335.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,74.250.000.000,-,185.250.328.124,(96.750.328.124),162.750.000.000,74250000000.0,,185250328124.0,-96750328124.0,162750000000.0
Trái phiếu thường dài hạn đến hạn trả,Trái phiếu thường dài hạn đến hạn trả,Trái phiếu thường dài hạn đến hạn trả,500.000.000.000,-,-,(500.000.000.000),-,500000000000.0,,,-500000000000.0,
Cộng,Cộng,Cộng,716.754.048.744,257.373.769.029,185.250.328.124,(793.541.027.562),365.837.118.335,716754048744.0,257373769029.0,185250328124.0,-793541027562.0,365837118335.0
