row_label_raw,row_label_full,8a. Chi phí trả trước ngắn hạn,8a. Chi phí trả trước ngắn hạn_1,8a. Chi phí trả trước ngắn hạn_2,numeric__8a. Chi phí trả trước ngắn hạn_1,numeric__8a. Chi phí trả trước ngắn hạn_2
,,,Số cuối năm,Số đầu năm,,
"Chi phí hoa hồng, quảng cáo","Chi phí hoa hồng, quảng cáo","Chi phí hoa hồng, quảng cáo",1.775.518.196,2.252.452.742,1775518196.0,2252452742.0
Chi phí khác,Chi phí khác,Chi phí khác,6.000.000,40.567.864,6000000.0,40567864.0
Cộng,Cộng,Cộng,1.781.518.196,2.293.020.606,1781518196.0,2293020606.0
8b. Chi phí trả trước dài hạn,8b. Chi phí trả trước dài hạn,8b. Chi phí trả trước dài hạn,8b. Chi phí trả trước dài hạn,8b. Chi phí trả trước dài hạn,,
,,,Số cuối năm,Số đầu năm,,
"Công cụ, dụng cụ","8b. Chi phí trả trước dài hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",8.618.273.835,6.779.932.680,8618273835.0,6779932680.0
"Chi phí duy tu, sửa chữa Quốc lộ 13","8b. Chi phí trả trước dài hạn > Chi phí duy tu, sửa chữa Quốc lộ 13","Chi phí duy tu, sửa chữa Quốc lộ 13",6.088.715.497,-,6088715497.0,
Thiết bị thu phí tự động,8b. Chi phí trả trước dài hạn > Thiết bị thu phí tự động,Thiết bị thu phí tự động,3.123.160.716,3.888.794.630,3123160716.0,3888794630.0
Cộng,8b. Chi phí trả trước dài hạn > Cộng,Cộng,17.830.150.048,10.668.727.310,17830150048.0,10668727310.0
