row_label_raw,row_label_full,col_0,Số cuối năm > Thời gian quá hạn,Số cuối năm > Giá gốc,Số cuối năm > Giá trị có thể thu hồi,Số đầu năm > Thời gian quá hạn,Số đầu năm > Giá gốc,Số đầu năm > Giá trị có thể thu hồi,numeric__Số cuối năm > Thời gian quá hạn,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị có thể thu hồi,numeric__Số đầu năm > Thời gian quá hạn,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị có thể thu hồi
Các bên liên quan,Các bên liên quan,Các bên liên quan,,1.975.869.000,1.975.869.000,,-,-,,1975869000.0,1975869000.0,,,
Tổng Công ty đầu tư và phát triển công nghiệp - TNHH MTV,Tổng Công ty đầu tư và phát triển công nghiệp - TNHH MTV,Tổng Công ty đầu tư và phát triển công nghiệp - TNHH MTV,,,,,,,,,,,,
Phải thu tiền bán bất động sản,Tổng Công ty đầu tư và phát triển công nghiệp - TNHH MTV > Phải thu tiền bán bất động sản,Phải thu tiền bán bất động sản,Dưới 06 tháng,1.975.869.000,1.975.869.000,,-,-,,1975869000.0,1975869000.0,,,
Các tổ chức và cá nhân khác,Tổng Công ty đầu tư và phát triển công nghiệp - TNHH MTV > Các tổ chức và cá nhân khác,Các tổ chức và cá nhân khác,,478.905.215.631,478.905.215.631,,216.446.742.668,216.446.742.668,,478905215631.0,478905215631.0,,216446742668.0,216446742668.0
Công ty cổ phần dịch vụ thương mại và xây dựng địa ốc Kim Oanh,Công ty cổ phần dịch vụ thương mại và xây dựng địa ốc Kim Oanh,Công ty cổ phần dịch vụ thương mại và xây dựng địa ốc Kim Oanh,,,,,,,,,,,,
Phải thu tiền bán bất động sản,Công ty cổ phần dịch vụ thương mại và xây dựng địa ốc Kim Oanh > Phải thu tiền bán bất động sản,Phải thu tiền bán bất động sản,Dưới 06 tháng,69.670.216.728,69.670.216.728,Dưới 06 tháng,-,-,,69670216728.0,69670216728.0,,,
Phải thu tiền bán bất động sản,Công ty cổ phần dịch vụ thương mại và xây dựng địa ốc Kim Oanh > Phải thu tiền bán bất động sản,Phải thu tiền bán bất động sản,Từ 06 tháng đến dưới 01 năm,3.134.962.500,3.134.962.500,Dưới 06 tháng,-,-,,3134962500.0,3134962500.0,,,
Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,,,,,,,,,,,,
Phải thu tiền bán bất động sản,Phải thu các tổ chức và cá nhân khác > Phải thu tiền bán bất động sản,Phải thu tiền bán bất động sản,Dưới 06 tháng,168.787.962.143,168.787.962.143,Dưới 06 tháng,67.370.732.509,67.370.732.509,,168787962143.0,168787962143.0,,67370732509.0,67370732509.0
Phải thu tiền bán bất động sản,Phải thu các tổ chức và cá nhân khác > Phải thu tiền bán bất động sản,Phải thu tiền bán bất động sản,Từ 06 tháng đến dưới 01 năm,64.440.874.089,64.440.874.089,Từ 06 tháng đến dưới 01 năm,41.626.343.590,41.626.343.590,,64440874089.0,64440874089.0,,41626343590.0,41626343590.0
Phải thu tiền bán bất động sản,Phải thu các tổ chức và cá nhân khác > Phải thu tiền bán bất động sản,Phải thu tiền bán bất động sản,Từ 01 đến dưới 02 năm,70.535.856.378,70.535.856.378,Từ 01 đến dưới 02 năm,46.059.103.709,46.059.103.709,,70535856378.0,70535856378.0,,46059103709.0,46059103709.0
