row_label_raw,row_label_full,Cho năm kết thúc ngày31 tháng 12 năm 2018,Chế biếnsản phẩm thủy sảnVND,Kinh doanhsản phẩm thủy sảnVND,TổngVND,numeric__Chế biếnsản phẩm thủy sảnVND,numeric__Kinh doanhsản phẩm thủy sảnVND,numeric__TổngVND
Doanh thu của bộ phận,Doanh thu của bộ phận,Doanh thu của bộ phận,10.193.409.783.915,1.842.533.387.222,12.035.943.171.137,10193409783915.0,1842533387222.0,12035943171137.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,614.986.616.401,111.163.329.782,726.149.946.183,614986616401.0,111163329782.0,726149946183.0
Doanh thu hoạt động tài chínhChi phí tài chính,Doanh thu hoạt động tài chínhChi phí tài chính,Doanh thu hoạt động tài chínhChi phí tài chính,,,255.296.804.435(200.580.975.821),,,
Lợi nhuận thuần từ hoạt độngkinh doanhThu nhập khácChi phí khácThuế thu nhập doanh nghiệp,Lợi nhuận thuần từ hoạt độngkinh doanhThu nhập khácChi phí khácThuế thu nhập doanh nghiệp,Lợi nhuận thuần từ hoạt độngkinh doanhThu nhập khácChi phí khácThuế thu nhập doanh nghiệp,,,780.865.774.7976.108.132.269(69.192.534)(71.689.996.228),,,
Lợi nhuận sau thuế TNDN,Lợi nhuận thuần từ hoạt độngkinh doanhThu nhập khácChi phí khácThuế thu nhập doanh nghiệp > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,715.214.718.304,,,715214718304.0
Cho năm kết thúc ngày31 tháng 12 năm 2017,Cho năm kết thúc ngày31 tháng 12 năm 2017,Cho năm kết thúc ngày31 tháng 12 năm 2017,Chế biếnsản phẩm thủy sảnVND,Kinh doanhsản phẩm thủy sảnVND,TổngVND,,,
Doanh thu của bộ phận,Cho năm kết thúc ngày31 tháng 12 năm 2017 > Doanh thu của bộ phận,Doanh thu của bộ phận,9.059.610.618.174,1.176.334.824.864,10.235.945.443.038,9059610618174.0,1176334824864.0,10235945443038.0
Kết quả kinh doanh của bộ phận,Cho năm kết thúc ngày31 tháng 12 năm 2017 > Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,546.728.619.308,70.989.355.034,617.717.974.342,546728619308.0,70989355034.0,617717974342.0
Doanh thu hoạt động tài chínhChi phí tài chính,Doanh thu hoạt động tài chínhChi phí tài chính,Doanh thu hoạt động tài chínhChi phí tài chính,,,106.376.595.282(189.282.163.975),,,
Lợi nhuận thuần từ hoạt độngkinh doanhThu nhập khácChi phí khácThuế thu nhập doanh nghiệp,Lợi nhuận thuần từ hoạt độngkinh doanhThu nhập khácChi phí khácThuế thu nhập doanh nghiệp,Lợi nhuận thuần từ hoạt độngkinh doanhThu nhập khácChi phí khácThuế thu nhập doanh nghiệp,,,534.812.405.6492.969.662.059(1.661.054.318)(64.348.691.707),,,
Lợi nhuận sau thuế TNDN,Lợi nhuận thuần từ hoạt độngkinh doanhThu nhập khácChi phí khácThuế thu nhập doanh nghiệp > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,471.772.321.683,,,471772321683.0
