row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,118.470.340.445,239.418.389.169,50.582.243.049,13.172.835.862,421.643.808.525,118470340445.0,239418389169.0,50582243049.0,13172835862.0,421643808525.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,715.412.182,46.004.800.482,3.398.297.680,372.118.184,50.490.628.528,715412182.0,46004800482.0,3398297680.0,372118184.0,50490628528.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,-,2.252.300.000,-,2.252.300.000,,,2252300000.0,,2252300000.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(656.181.818),-,(656.181.818),,,-656181818.0,,-656181818.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,119.185.752.627,285.423.189.651,55.576.658.911,13.544.954.046,473.730.555.235,119185752627.0,285423189651.0,55576658911.0,13544954046.0,473730555235.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,58.627.992.162,132.329.246.798,26.314.518.502,8.093.106.134,225.364.863.596,58627992162.0,132329246798.0,26314518502.0,8093106134.0,225364863596.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,7.275.367.679,22.423.069.791,4.698.306.849,1.215.538.263,35.612.282.582,7275367679.0,22423069791.0,4698306849.0,1215538263.0,35612282582.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(656.181.818),-,(656.181.818),,,-656181818.0,,-656181818.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,65.903.359.841,154.752.316.589,30.356.643.533,9.308.644.397,260.320.964.360,65903359841.0,154752316589.0,30356643533.0,9308644397.0,260320964360.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,59.842.348.283,107.089.142.371,24.267.724.547,5.079.729.728,196.278.944.929,59842348283.0,107089142371.0,24267724547.0,5079729728.0,196278944929.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,53.282.392.786,130.670.873.062,25.220.015.378,4.236.309.649,213.409.590.875,53282392786.0,130670873062.0,25220015378.0,4236309649.0,213409590875.0
