row_label_raw,row_label_full,col_0,Công cụ và dụng cụ VND,numeric__Công cụ và dụng cụ VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,11.211.534.288,11211534288.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,16.381.163.109,16381163109.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(9.159.512.580),-9159512580.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,18.433.184.817,18433184817.0
