row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,Chế biến sản phẩm thủy sản VND,Kinh doanh sản phẩm thủy sản VND,Tổng VND,numeric__Chế biến sản phẩm thủy sản VND,numeric__Kinh doanh sản phẩm thủy sản VND,numeric__Tổng VND
Tài sản của bộ phận Đầu tư vào công ty liên kết được hoạch toán theo vốn chủ sở hữu,Tài sản của bộ phận Đầu tư vào công ty liên kết được hoạch toán theo vốn chủ sở hữu,Tài sản của bộ phận Đầu tư vào công ty liên kết được hoạch toán theo vốn chủ sở hữu,5.149.365.484.810,930.785.481.002,6.080.150.965.8123.900.000.000,5149365484810.0,930785481002.0,6.08015096581239e+22
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,6.084.050.965.812,,,6084050965812.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,2.779.026.346.465,502.329.341.788,3.281.355.688.253,2779026346465.0,502329341788.0,3281355688253.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,3.281.355.688.253,,,3281355688253.0
Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,,,,,,
Chi tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Chi tiêu vốn,Chi tiêu vốn,46.593.333.550,8.422.085.888,55.015.419.438,46593333550.0,8422085888.0,55015419438.0
Khấu hao và phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Khấu hao và phân bổ,Khấu hao và phân bổ,31.474.878.513,5.689.314.542,37.164.193.055,31474878513.0,5689314542.0,37164193055.0
Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Chế biến sản phẩm thủy sản VND,Kinh doanh sản phẩm thủy sản VND,Tổng VND,,,
Tài sản của bộ phận Đầu tư vào công ty liên kết được hoạch toán theo vốn chủ sở hữu,Tại ngày 31 tháng 12 năm 2017 > Tài sản của bộ phận Đầu tư vào công ty liên kết được hoạch toán theo vốn chủ sở hữu,Tài sản của bộ phận Đầu tư vào công ty liên kết được hoạch toán theo vốn chủ sở hữu,5.118.258.828.827,664.574.489.652,5.782.833.318.4793.900.000.000,5118258828827.0,664574489652.0,5.78283331847939e+22
Tổng tài sản,Tại ngày 31 tháng 12 năm 2017 > Tổng tài sản,Tổng tài sản,,,5.786.733.318.479,,,5786733318479.0
Nợ phải trả của bộ phận,Tại ngày 31 tháng 12 năm 2017 > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,3.261.392.227.001,423.471.760.085,3.684.863.987.086,3261392227001.0,423471760085.0,3684863987086.0
Tổng nợ phải trả,Tại ngày 31 tháng 12 năm 2017 > Tổng nợ phải trả,Tổng nợ phải trả,,,3.684.863.987.086,,,3684863987086.0
Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,,,,,,
Chi tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2017 > Chi tiêu vốn,Chi tiêu vốn,37.707.707.396,4.896.114.330,42.603.821.726,37707707396.0,4896114330.0,42603821726.0
Khấu hao và phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2017 > Khấu hao và phân bổ,Khấu hao và phân bổ,30.149.022.576,3.914.665.507,34.063.688.083,30149022576.0,3914665507.0,34063688083.0
