row_label_raw,row_label_full,col_0,1/1/2018VND,Số phát sinh trong năm VND,Số đã nộp trong năm VND,Số đã cán trừ VND,31/12/2018VND,numeric__1/1/2018VND,numeric__Số phát sinh trong năm VND,numeric__Số đã nộp trong năm VND,numeric__Số đã cán trừ VND,numeric__31/12/2018VND
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,27.171.454.830,71.957.829.101,(76.065.333.839),-,23.063.950.092,27171454830.0,71957829101.0,-76065333839.0,,23063950092.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,220.155.647,3.867.723.406,(3.680.047.532),-,407.831.521,220155647.0,3867723406.0,-3680047532.0,,407831521.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,144.952.106.410,(941.321.353),(144.010.785.057),-,,144952106410.0,-941321353.0,-144010785057.0,
,,,27.391.610.477,220.777.658.917,(80.686.702.724),(144.010.785.057),23.471.781.613,27391610477.0,220777658917.0,-80686702724.0,-144010785057.0,23471781613.0
(b) Thuế phải thu Ngân sách Nhà nước,(b) Thuế phải thu Ngân sách Nhà nước,(b) Thuế phải thu Ngân sách Nhà nước,(b) Thuế phải thu Ngân sách Nhà nước,(b) Thuế phải thu Ngân sách Nhà nước,(b) Thuế phải thu Ngân sách Nhà nước,(b) Thuế phải thu Ngân sách Nhà nước,(b) Thuế phải thu Ngân sách Nhà nước,,,,,
,,,,1/1/2018VND,Số phát sinh trong năm VND,Số đã cán trừ VND,31/12/2018VND,,,,,
Thuế xuất nhập khẩu,(b) Thuế phải thu Ngân sách Nhà nước > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,,555.363.964,411.243.253,-,966.607.217,,555363964.0,411243253.0,,966607217.0
Thuế khác,(b) Thuế phải thu Ngân sách Nhà nước > Thuế khác,Thuế khác,,132.231.840,423.873.310,-,556.105.150,,132231840.0,423873310.0,,556105150.0
,,,,687.595.804,835.116.563,-,1.522.712.367,,687595804.0,835116563.0,,1522712367.0
